model,family,params_b,task,level,n_items,rho,ceiling,share,mass_median
Falcon3-10B-Instruct,Falcon 3,10.3,50_sentences_noisy_channel_may_25_2011,pragmatics,208,-0.111,0.555,-0.2001,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,sentence_semantics,208,0.3485,0.588,0.5927,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acceptability_extension_959_v5,syntax,566,0.7274,0.797,0.9127,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acceptability_judgments_kang,syntax,136,0.8156,0.974,0.8373,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acceptability_replication_959,syntax,288,0.9001,0.964,0.9337,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_context_polly_1_nov_23_2012,discourse,310,0.0285,0.462,0.0616,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_no_context_polly_1_nov_23_2012,syntax,213,0.522,0.838,0.6229,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_also_3_nov_24_2012_2,syntax,128,0.5702,0.874,0.6525,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_23_also_nov_16_2012,syntax,600,0.4731,0.825,0.5735,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_24_same_diff_verbs_nov_16_2012,syntax,472,0.3888,0.89,0.4368,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_31_same_diff_verbs_nov_16_2012_1,syntax,176,0.5824,0.755,0.7714,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_42_also_verbs_nov_29_2012_1,syntax,176,0.417,0.63,0.6618,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_44_the_same_nov_29_2012_1,syntax,140,0.5587,0.601,0.9297,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,syntax,360,0.3838,0.774,0.4958,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,syntax,448,0.265,0.56,0.4732,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,active_passive_sentence_naturalness_survey_july_2012,syntax,132,0.6421,0.887,0.7239,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,aixiu_coherence_en_update1,sentence_semantics,277,0.8006,0.882,0.9077,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,alex_paunov_literal_inferences_dec_3_2011,pragmatics,299,0.7119,0.908,0.784,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,amouyal2024_plausibility,sentence_semantics,853,0.5026,0.915,0.5493,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,animacy_passive_dative_kyle,syntax,120,0.4721,0.926,0.5098,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,anne_abeille_acceptability_july_12_2017_1,syntax,296,0.4766,0.635,0.7506,1.0
