id,level,sublevel,confidence,borderline,reason,evidence
50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,syntax,,medium,yes,Scale asks likelihood but items vary active/passive & dative order incl. reversed order,Q: how likely is the event? Items: active/passive pairs and dative double-obj/PP/reversed-order variants
acd_no_context_polly_1_nov_23_2012,syntax,,high,no,"ACD ellipsis naturalness rated on isolated sentences, no context given","Q: how natural? Units are single ACD sentences, no preceding context sentence"
acd_project_expt_42_also_verbs_nov_29_2012_1,syntax,,high,no,"Same ACD-in-isolation stimuli as acd_no_context set, no context sentence","Q: how natural? Same sentences as acd_no_context_polly, no context prefix"
agreement_norming_nov_17,syntax,,high,no,"NP number-agreement naturalness (singular/plural noun x PP), 'likely' used as naturalness proxy",Q: how likely is the phrase? Items: 'actor(s) in the commercial(s)' number combinations
animacy_passive_dative_kyle,syntax,,high,no,"Argument-alternation naturalness (active/passive, dative order) crossed with animacy",Q: how natural? Items vary active/passive and dative-order with animate/inanimate NPs
can_noncan_acceptability_0924,syntax,,high,no,Canonical vs non-canonical word-order naturalness,Q: how natural? Sentences vary constituent/word order
clefting_e3,syntax,,high,no,"Cleft-construction naturalness, clefted constituent varies",Q: how natural? 'It was X that Y' items vary which constituent is clefted
coherence_survey_list4_main,discourse,,high,no,Connectedness/likelihood-in-sequence judgment between two sentences,"Q: how connected are these two sentences, likely to occur in sequence; some pairs randomly paired"
corenblum2025_cognition,lexical_semantics,conceptual,high,no,Word rated for degree of cognitive-meaning association,"Q: how cognitive is the word's meaning (1-7)? Units: single words e.g. airport, analogy, angry"
dative_finnish,discourse,,high,yes,Filed under syntax but design crosses givenness context with dative word-order target (discourse rule),Same target dative-order pair (theme-first/recipient-first) repeated under 2 contexts making different NP given
devarda2023_predictability,other,,high,no,Cloze predictability of a target word given a varying sentence-fragment prefix,"Q: how predictable is the word given prefix? Prefix varies per item, e.g. 'Arthur placed...'"
discourse_causality_list1,discourse,,high,no,Causal-relation judgment between S1 and S2,Q: to what extent does S1 cause S2 (1-7)? Sentence pairs
discourse_coherence_list1,discourse,,high,no,Coherence judgment: whether S2 makes sense given S1,Q: how much sense does S2 make in context of S1 (1-7)? Sentence pairs
discourse_imagability_pairs_list2,sentence_semantics,conceptual_content,high,no,"Content-evoked rating (visualizability) of a sentence pair treated as one unit, per codebook note",Q: how easy to visualize the content of the two sentences (1-7)?
discourse_mentalizing_pairs_list1,sentence_semantics,conceptual_content,high,no,Content-evoked rating (mentalizing) of a sentence pair treated as one unit,Q: how much does the pair make you think of others' thoughts/emotions (1-7)?
discourse_mentalizing_singles_list4,sentence_semantics,conceptual_content,high,no,Content-evoked rating (mentalizing) of a single sentence,Q: how much does this sentence make you think of others' thoughts/emotions (1-7)?
discourse_physics_singles_list3,sentence_semantics,conceptual_content,high,no,Content-evoked rating (physical objects/interactions) of a single sentence,Q: how much does this sentence make you think of physical objects/interactions (1-7)?
discourse_scenes_singles_list2,sentence_semantics,conceptual_content,high,no,Content-evoked rating (places/scenes) of a single sentence,Q: how much does this sentence make you think of places/scenes (1-7)?
ecog_sentences_naturalness_jan_8_2014_2,sentence_semantics,plausibility,medium,yes,"Naturalness set with no clear structural manipulation; low outliers are semantically odd, not ill-formed",Q: how natural? Mostly well-formed declaratives; e.g. 'A CLOSET PARKING SPOT...' rated low despite grammaticality
eunice_disfluency_nov_15_2011,syntax,,high,no,"Disfluency ('uh') placement crossed with relative-clause/verb order, naturalness judgment","Q: how natural? 'platoon attacked who was hiding' vs 'platoon who was hiding...attacked', with/without 'uh'"
gabriel_rc,syntax,,high,no,Relative-clause well-formedness (relativizer choice) in Portuguese,Q: is this a well-formed PT sentence? Items vary relativizer 'quem' vs 'do qual/a cor...'
green2025_aoa_reading,lexical_other,,high,no,Age-of-acquisition estimate for reading,Q: at what age did you first understand this word in print? Units: single words
huang_response_set2a_declaratives,syntax,,high,no,Complement-taking verb subcategorization (that-clause) naturalness,"Q: how natural? 'Barbara Xed that Y would Z something', X=blubbered/decided/dispelled/distrusted/identified"
islands_acceptability_expt_2_dec_2_2012,syntax,,high,no,Island-violation (complex NP) naturalness via embedded wh-extraction,Q: how natural? 'wondered what/who the coworker claimed/made the claim that Amy stole'
lancaster2020_foot_leg,lexical_semantics,perceptual_motor,high,no,Sensorimotor-strength rating (foot/leg action) of word meaning,Q: how much do you experience this word through foot/leg action (0-5)? Units: single words
lancaster2020_interoceptive,lexical_semantics,perceptual_motor,high,no,Sensory-strength rating (interoception) of word meaning,Q: how much do you experience this word through interoception (0-5)? Units: single words
lauren_sentence_naturalness_survey_expt3_nov_17_2011,syntax,,high,no,"Structural naturalness: existential-there inversion, clefting, center-embedding",Q: how natural? e.g. 'there sank three ships...'; multiply center-embedded that-clauses
lexical_frame_adjectives_likert_set3,syntax,,high,no,Adjective complement-frame (subcategorization) naturalness despite 'lexical' in name,Q: rate the sentence. 'X was ashamed/irate/sure that Y Zed(-something)' varies matrix adjective+complement
massive_mem_arousal_mar_2014_end_1,lexical_semantics,affective,high,no,Word arousal rating,Q: how exciting/calming is the word (1-5)? Units: single words
massive_mem_familiarity_mar_2013,lexical_other,,high,no,Word familiarity rating (not a meaning dimension),Q: how familiar is the word/phrase (1-5)? Units: single words/phrases
massive_mem_imageability_mar_2013_end_1,lexical_semantics,perceptual_motor,high,no,Word imageability rating,Q: how easy to form a mental image of the word (1-5)? Units: single words
massive_mem_valence_mar_2014,lexical_semantics,affective,high,no,Word valence/pleasantness rating,Q: how pleasant/unpleasant is the word (1-5)? Units: single words
missing_vp_rereplication,syntax,,high,yes,Filed under sentence_semantics but manipulation is center-embedding depth / missing VP (syntax),Q: how understandable? Multiply center-embedded relative clauses with/without final matrix VP present
noisy_channel_acceptability_2_sept_2013,syntax,,high,no,Word-order corruption naturalness (noisy-channel scrambling),Q: how natural? e.g. 'was the fireman by rescued' scrambled vs correct passive order
p_p_sentence_naturalness_survey_aug_2010,syntax,,high,no,"Within-sentence pronoun-binding (donkey anaphora) naturalness, p_p series per Andrea's decision",Q: how natural? 'lent me his bicycle and borrowed my ball' cross-VP pronoun binding
paris_judgments_dec_2012_1,syntax,,high,no,"VP-ellipsis / antecedent-form naturalness within one coordinated sentence, no separate context","Q: how natural? '...and a policeman did too/did/explained it to passers-by too' variants, single sentence"
pronouns_following_verbs,pragmatics,,high,no,Pronoun-reference strength driven by verb implicit causality,Q: how strong is your intuition who the pronoun refers to (1-3)? 'X chokes Y because she/he is a [nonce]'
pronouns_following_verbs_ve,pragmatics,,high,no,"Pronoun-reference strength driven by verb implicit causality, past-tense/'although' variant",Q: how strong is your intuition who the pronoun refers to (1-3)? 'X choked Y although she/he was a [nonce]'
quantitative_syntax_survey,syntax,,high,no,"Multiple-wh order naturalness; preamble context constant within family, only final clause varies (context inert)","Q: how natural does the passage sound? Fixed preamble, final clause varies 'who...what' vs 'what...who' order"
replication_study_9_59,discourse,,high,yes,Filed under syntax but design crosses givenness context with dative-order target (discourse rule),Same dative-order target pair (double-object/PP) recurs under contexts making analyst or office definite/given
richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,syntax,,high,no,Adjunct-island (while-clause) naturalness via wh-extraction,Q: how natural? 'wondered what/whether the detective would X while Paul took (the necklace) from the store'
scott2018_dominance,lexical_semantics,affective,high,no,Word dominance rating,Q: how dominant/controlled does the word make you feel (1-9)? Units: single words
scott2018_valence,lexical_semantics,affective,high,no,Word valence rating,Q: how positive/negative is the word (1-9)? Units: single words
sentence_naturalness_isac_survey_feb_2011,syntax,,high,no,"Wh-island/factive-island naturalness, isolated complex sentences",Q: how natural? 'who Jeannette regretted that Cedric bribe' vs '...the conjecture stating that Cedric bribed'
sentence_naturalness_survey_acd_v6_oct_25_2012,discourse,,high,no,"Dialogue-context ACD/quantifier-ellipsis design: dialogue turn x reply, antecedent set x ACD ellipsis",Shared Mary/John dialogue context; Mary's final turn varies every/the x audited/did ellipsis
sentence_naturalness_survey_for_gs_jan_2010,pragmatics,,high,no,Felicity of an utterance in a described situation that is constant within family,"Q: how natural is the utterance in that situation? Situation constant, utterance varies imperative/conditional"
sentence_naturalness_survey_for_jk_april_9_expt_4_2010,discourse,,high,no,Connective and clause-order manipulation across a 3-sentence passage,"Q: how natural does the passage sound? 'Consequently,' present/absent and clause order (though X,Y / Y though X)"
sentence_naturalness_survey_for_lb_dec_2009,discourse,,high,no,Cross-sentence presupposition: felicity of 'another X' in S2 depends on definiteness of X in S1,S1 varies a/the soldier; S2 'another soldier...' felicity rated given S1
sentence_naturalness_survey_for_lb_mar_2010,discourse,,high,no,"Same cross-sentence presupposition design as lb_dec_2009, plus 'the only' quantifier variant",S1 varies a/the/the only soldier; S2 'another soldier...' felicity rated given S1
sentence_naturalness_survey_for_rw_jan_2010,discourse,,high,no,Cross-sentence VP-ellipsis/anaphora felicity depending on an intervening descriptive sentence,'...did it too/did too' with/without middle descriptive sentence present before the ellipsis
sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,syntax,,high,no,"Subject-verb agreement violations and center-embedding, isolated sentences",Q: how natural? 'it amuse/scaring' vs 'amused/scared'; 'seats was' vs 'were'; stacked relative clauses
troche2014_color,lexical_semantics,perceptual_motor,high,no,Sensory-strength rating (visual/color modality) of concept,Q: I relate this word to color (1-7 agree/disagree)? Units: single words/concepts
troche2014_quantity,lexical_semantics,conceptual,high,no,"Semantic-feature rating (quantity), explicitly listed conceptual example","Q: I relate this word to size, amount or scope (1-7)? Units: single words/concepts"
troche2014_thought,lexical_semantics,conceptual,high,no,"Semantic-feature rating (thought/cognition), explicitly listed conceptual example","Q: I relate this word to mental activity, ideas, opinions, judgments (1-7)? Units: single words/concepts"
tuckute2024_general_frequency,other,,high,no,"Subjective sentence encounter-likelihood (frequency), matches explicit 'other' category",Q: how likely are you to encounter this sentence (1-7)? Units: full sentences
tuckute2024_places,sentence_semantics,conceptual_content,high,no,Content-evoked rating (places/scenes) of a single sentence,Q: how much does the sentence make you think of places/scenes (1-7)?
verb_particle_ratings,syntax,,high,no,"Verb-particle placement naturalness, object length/position varies",Q: how natural? e.g. 'broke down the box'/'broke the box down' with modified vs bare object NP
winter2024_iconicity,subword,,high,no,"Iconicity of real words (sound-meaning resemblance is form-driven), per codebook decision",Q: how iconic/how much does the word sound like what it means (1-7)? Units: single words
