id,level,sublevel,confidence,borderline,reason,evidence
acceptability_judgments_kang,syntax,,high,no,Naturalness rating; items vary clause order (although-after vs after-although),"How natural does the sentence sound? Items swap subordinate-clause order within the same sentence."
acd_project_expt_23_also_nov_16_2012,syntax,,high,no,Naturalness rating on ACD/ellipsis structures crossing quantifier and verb-form,"How natural does the sentence sound? every/the crossed with was/also was/recommended/was ignoring (ACD ellipsis)."
acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,syntax,,medium,yes,Same ACD/ellipsis naturalness paradigm as expt_23; name suggests plausibility but manipulation is structural,"How natural does the sentence sound? every/the crossed with balanced/did/overdrafted (ellipsis completion)."
aixiu_coherence_en_update1,sentence_semantics,plausibility,medium,yes,Single sentences with semantic/animacy anomalies (odd noun substitutions); not a pair-coherence task despite folder name,"Please rate how acceptable the sentence is. Items like 'A difference flying in the air can hurt' vary in meaning, not structure."
base_acceptability_0908,syntax,,high,no,Naturalness rating on plain sentences (test vs filler),"How natural does the sentence sound? Items vary sentence content/structure, filler vs test."
chinese_dative,discourse,,high,yes,"Context (givenness) crossed with target dative order (DO vs PP) across item families; filed under syntax folder but matches the discourse givenness x word-order example.","目标句 varies dative order (V-Recipient-Theme vs V-Theme-PP); paired context varies givenness across item families."
coherence_survey_list1_main,discourse,,high,no,Rates how connected/likely-in-sequence two sentences are; explicit coherence measure,"Rate how connected these two sentences are (1-5, not connected to strongly connected)."
constituency_tests_2,syntax,,high,no,Naturalness of fronted-constituent (topicalization) structures,"How natural does the sentence sound? Items front PPs/NPs (e.g. 'At the watch, ...') varying constituency."
cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,syntax,,high,no,"Passage context constant within family, only final multi-wh question varies (what who left where vs who left what where)","How natural does the final sentence sound in context? Final Q varies multiple-wh word order; preceding passage fixed."
dentella2023_grammaticality,syntax,,high,no,Binary grammaticality judgment on agreement/island violations,"Is the sentence grammatically correct? Items vary reflexive-antecedent number agreement and complex-NP structure."
discourse_30subjs_list2,discourse,,high,no,Rates how connected two sentences are (coherence measure),"Rate how connected these two sentences are (1-5 scale)."
discourse_causality_list3,discourse,,high,no,Rates causal connection between S1 and S2,"To what extent does S1 cause S2? (1-7 scale)."
discourse_coherence_list3,discourse,,high,no,Rates how much sense S2 makes given S1,"How much sense does S2 make in the context of S1? (1-7 scale)."
discourse_imagability_singles_list2,sentence_semantics,conceptual_content,high,no,Single sentences rated for ease of visualizing content; not a coherence/causality measure despite project name,"How easy is the content of the sentence to visualize? Single sentences, no pairing."
discourse_mentalizing_singles_list1,sentence_semantics,conceptual_content,high,no,Single sentences rated for evoking others' mental states,"How much does this sentence make you think of other people's thoughts/beliefs/emotions? Single sentences."
discourse_physics_pairs_list2,sentence_semantics,conceptual_content,high,no,Sentence pairs rated as one unit for evoking physical objects/interactions,"How much do these sentences make you think of physical objects/interactions? Content rating, not coherence."
discourse_scenes_pairs_list1,sentence_semantics,conceptual_content,high,no,Sentence pairs rated as one unit for evoking places/scenes,"How much do these sentences make you think of places/scenes? Content rating, not coherence."
discourse_scenes_singles_list4,sentence_semantics,conceptual_content,high,no,Single sentences rated for evoking places/scenes,"How much does this sentence make you think of places/scenes? Single sentences."
erp_norming_error_detection_june_2013_4,syntax,,high,no,Rates likelihood sentence contains an error; items have missing complement/agreement violations,"How likely is it that the sentence contains an error? Items delete a noun after determiner (e.g. 'the urgent had been...')."
european_portuguese_wh,syntax,,high,no,Well-formedness rating on Portuguese sentences,"Esta frase é uma frase bem formada em português? (Is this sentence well-formed?)"
gatti2024_pseudoword_valence_intuitive,subword,,high,no,Valence rating of pseudowords (no meaning; form-driven per codebook),"How positive/negative is the emotional response the new word evokes? Items are pseudowords (abhert, acleat...)."
huang_response_set1a,syntax,,high,no,Naturalness of wh-questions varying embedding verb (bridge vs non-bridge),"Please rate how natural it sounds. 'What did Barbara VERB that Susan would break?' varies matrix verb across fixed frame."
huang_response_set2b_declaratives,syntax,,high,no,Naturalness of declarative complement clauses varying matrix verb (factive/non-factive),"Rate how natural. 'Barbara VERB that Robert stole something' varies matrix verb (complement-taking frame)."
italian_locative_v7,discourse,,high,yes,"Context (cat given or not) crossed with target locative order (SV vs VS) across item families; filed under syntax folder but matches discourse givenness x word-order example.","Rate naturalness of last sentence. Lead-in varies whether cat is introduced (givenness), crossed with SV/VS target order."
lancaster2020_hand_arm,lexical_semantics,perceptual_motor,high,no,Word rating for hand/arm sensorimotor experience strength,"Rate how much you experience the word through hand/arm actions (0-5 scale)."
lancaster2020_olfactory,lexical_semantics,perceptual_motor,high,no,Word rating for olfactory sensory experience strength,"Rate how much you experience the word through smell/olfaction (0-5 scale)."
lauren_sentence_naturalness_survey_oct_14_2011,syntax,,high,no,Naturalness ratings; items include center-embedded relative clauses and nested conditionals,"How natural does the sentence sound? Includes center-embedding depth variants ('the child who the bicyclist who...')."
massive_mem_arousal_mar_2013,lexical_semantics,affective,high,no,Word/phrase arousal rating,"How exciting or calming is the word or phrase? (1-5 scale)."
massive_mem_concreteness_mar_2013_end_1,lexical_semantics,perceptual_motor,high,no,Word/phrase concreteness rating,"How concrete or abstract is the word or phrase? (1-5 scale)."
massive_mem_familiarity_mar_2014,lexical_other,,high,no,Word familiarity rating (not a meaning dimension),"How familiar is the word? (1-5 scale)."
massive_mem_imageability_mar_2014_end_1,lexical_semantics,perceptual_motor,high,no,Word/phrase imageability rating,"How easy is it to form a mental image of the word? (1-5 scale)."
melissa_short_naturalness_test,sentence_semantics,plausibility,medium,yes,Crosses company vs person subject with mental-state predicates (personification) and separately with truncated complements,"How natural does the sentence sound? 'Acme Corp. is feeling upset' vs 'The CEO is feeling upset' (personification); some items also truncated."
muraki2023_concreteness,lexical_semantics,perceptual_motor,high,no,Concreteness rating of words/expressions,"Rate the expression on a scale from abstract to concrete (1-5)."
of_acceptability_2,syntax,,high,no,Naturalness rating; items vary preposition stranding vs pied-piping in clefts,"How natural does the sentence sound? 'It was X that Y applied for' vs 'It was for X that Y applied' (stranding vs pied-piping)."
p_p_sentence_naturalness_survey_feb,syntax,,high,no,Naturalness rating on donkey-anaphora/pronoun-binding sentences (per codebook decision),"How natural does the sentence sound? 'A few boys who petted a dog found something/hugged him...' (binding paradigm)."
pexman2019_body_object_interaction,lexical_semantics,perceptual_motor,high,no,Word rating for ease of physical body-object interaction,"Rate the word for ease with which a human body can physically interact with what it represents (1-7)."
pronouns_following_verbs_ce,pragmatics,,high,no,Strength of pronoun-reference intuition driven by verb implicit causality,"How strong is your intuition about who the pronoun refers to? 'Amanda choked Jessica because she was a cham.'"
quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,syntax,,high,no,Naturalness rating on wh-extraction from double-object constructions varying completeness and do-support,"How natural does the sentence sound? 'who Monica offered a pencil to' vs '...offered a pencil' vs 'who did offer...to' (extraction/do-support)."
reasoning_and_language_tasks_survey_code_talkative_pigeon,syntax,,high,no,Naturalness rating including subject/object relative-clause extraction pairs,"How natural does the sentence sound? 'the ambassador that contacted the interpreter' vs 'that the interpreter contacted' (RC extraction)."
richard_islands_acceptability_expt_2_april_26_2013,syntax,,high,no,Naturalness rating on island/complementizer manipulations (whether vs what-extraction from adjunct),"How natural does the sentence sound? 'wondered what...would VERB if Paul took from...' vs 'wondered whether...took the necklace...' (island vs non-island)."
scott2018_age_of_acquisition,lexical_other,,high,no,Word age-of-acquisition rating (not a meaning dimension),"Please rate the word on age of acquisition (1-7, ages 0-2 to 13+)."
scott2018_gender,lexical_semantics,conceptual,medium,yes,Word gender-association rating; treated as a semantic-feature dimension of word meaning analogous to other conceptual dimensions,"Rate how strongly the word's meaning is associated with male/female behaviour (1-7)."
semantics2_finalproject,sentence_semantics,plausibility,high,no,Agreement rating with the truth/plausibility of generic statements,"How much do you agree with the sentence? 'Alaska is always cold' vs 'always hot' (truth/plausibility of generalization)."
sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,syntax,,high,no,Naturalness rating; ACD/ellipsis paradigm replication (quantifier x verb-completion),"How natural does the sentence sound? every/the crossed with did/overdrafted/recommended (ACD ellipsis, Hackl replication)."
sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,syntax,,high,no,Naturalness rating on complex-NP relative clause plus gapping/ellipsis variants,"How natural does the sentence sound? 'the woman who Lauren mentioned that Justin hire[d]' varies ellipsis/gapping completeness."
sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,pragmatics,,high,no,Rates felicity of an utterance given a described (constant) situation,"How natural does the utterance sound in that situation? Situation fixed per pair; utterance content varies (e.g. donate vs steal)."
sentence_naturalness_survey_for_jk_mar_2010,discourse,,medium,yes,Passage naturalness; lead-in clause order varies (While/Because-first vs main-first) crossed with final pronoun's antecedent accessibility,"How natural does the passage sound? 'While Steve..., Adam...' vs 'Adam..., while Steve...' before a pronoun-continuation sentence."
sentence_naturalness_survey_for_lb_jan_2011,discourse,,high,no,Cross-sentence presupposition of 'again'/'too' given the prior sentence,"How natural does the passage sound? 'I am unsure whether Chris had cut down a tree before. Today he cut down a tree again/too.'"
sentence_naturalness_survey_for_lb_may_2010,discourse,,high,no,Cross-sentence presupposition of 'again' given the prior sentence,"How natural does the passage sound? 'Chris had never cut down a tree before. Today he cut down a tree again' vs '...a tree.' (no again)."
sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,sentence_semantics,plausibility,medium,yes,Naturalness rating on malapropism/wrong-word-choice sets (some items also carry a number-agreement violation),"How natural does the sentence sound? 'an attached document/doctorate/boundary/documents' (malapropism plus plural-agreement variant)."
susan_canonicity_rerunning_2,syntax,,high,no,Naturalness rating; items vary preposition stranding vs pied-piping in clefts,"How natural does the sentence sound? 'It is in the church choir that he sings' vs 'It is the church choir that he sings in.'"
troche2014_morality,lexical_semantics,conceptual,high,no,Word rating on morality-relatedness (semantic-feature dimension),"I relate this word to morality/rules... Rate 1-7 agreement."
troche2014_space,lexical_semantics,conceptual,high,no,Word rating on position/place/direction-relatedness (semantic-feature dimension),"I relate this word to position, place or direction. Rate 1-7 agreement."
troche2014_visual_form,lexical_semantics,perceptual_motor,high,no,Word rating on visual shape/form/texture perceptual strength,"I relate this word to shapes, forms, textures that I can see with my eyes. Rate 1-7 agreement."
tuckute2024_imageability,sentence_semantics,conceptual_content,high,no,Sentence rating for ease of visualizing/imagining content,"How easy is it to visualize the sentence's meaning? Single sentences rated 1-7."
tuckute2024_valence,sentence_semantics,affective,high,no,Sentence rating for positive/happy feeling evoked,"How much does the sentence make you feel happy/pleased/content/hopeful? Single sentences rated 1-7."
warriner2013_dominance,lexical_semantics,affective,high,no,Word rating for felt dominance/control (affective dimension),"Rate how you felt while reading the word, from controlled to in control (1-9)."
word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,subword,,high,no,Wordlikeness rating of nonwords (form-driven),"How natural does the made-up word sound as a possible English word? Items are nonwords (bdag, bdeech, bnag...)."
