id,level,sublevel,confidence,borderline,reason,evidence
50_sentences_noisy_channel_may_25_2011,pragmatics,,high,no,"Confidence in speaker's intended meaning of a misheard sentence, given two options.","How confident in intended reading of misheard sent.; role-reversal pairs (active/passive, dative) vary"
acd_context_polly_1_nov_23_2012,discourse,,high,no,Dialogue context + Mary's reply crossed (antecedent set x ACD ellipsis); context rule -> discourse.,Naturalness of Mary's turn in context; context wording (which businesses/ones) crossed with ellipsis target
acd_project_expt_31_same_diff_verbs_nov_16_2012_1,syntax,,high,no,"Naturalness of ACD ellipsis in isolation (same/diff verb); structure varies, per codebook explicit rule.",How natural does sentence sound; ellipsis matched/mismatched verb across items
active_passive_sentence_naturalness_survey_july_2012,syntax,,high,no,Naturalness varying active/passive voice and relative-clause structure.,"How natural does sentence sound; active vs passive, RC gap position vary"
amouyal2024_plausibility,sentence_semantics,plausibility,high,no,Plausibility of who-did-what-to-whom; propositional content (thematic roles) varies.,Rate plausibility 1-7; NP1/NP2 role-swap pairs (journalist/celebrities interviewed)
brysbaert2014_concreteness,lexical_semantics,perceptual_motor,high,no,"Word concreteness rating, a perceptual/experiential meaning property.",Rate word 1(abstract)-5(concrete); single words vary
class_demo,syntax,,high,no,Naturalness of particle-verb placement (put off/down X); structure varies.,How natural does sentence sound; particle position and NP length vary
coherence_survey_list3_main,discourse,,high,no,How connected/likely-in-sequence two sentences are; relation to other sentence.,Rate connectedness 1-5; related vs randomly paired sentence pairs vary
copy_of_verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,conceptual,high,no,Verb causality (does it happen on its own or is it caused) is a word-meaning dimension.,Rate 1-5 self-caused vs externally caused; single verbs (gerunds) vary
dative_alternation_extension_version_2,syntax,,high,no,Naturalness across double-object vs prepositional-dative structure.,How natural is sentence; assigned NP NP vs NP to NP order varies
depth_charge_with_noise,syntax,,high,no,Sense/well-written rating of sentences with word-order corruptions/scrambling.,How does sentence sound 1-7; word order errors like 'can be difficult' vs 'be can difficult' vary
discourse_30subjs_list4,discourse,,high,no,How connected/likely-in-sequence two sentences are; relation to other sentence.,Rate connectedness 1-5; related vs unrelated sentence pairs vary
discourse_changed_0428,discourse,,high,no,How connected/likely-in-sequence two sentences are; relation to other sentence.,Rate connectedness 1-5; related vs unrelated sentence pairs vary
discourse_imagability_pairs_list1,sentence_semantics,conceptual_content,high,no,"Visualizability of content of a sentence pair treated as one unit; per codebook, project name is discourse_* but content rating is sentence_semantics.","Rate ease to visualize 1-7; pairs of sentences, content/imageability varies"
discourse_imagability_singles_list4,sentence_semantics,conceptual_content,high,no,Visualizability of content of single sentences (imageability).,"Rate ease to visualize 1-7; single sentences, content varies"
discourse_mentalizing_singles_list3,sentence_semantics,conceptual_content,high,no,How much sentence evokes others' mental states (mentalizing); content evoked.,Rate 1-7 how much evokes thoughts/feelings; single sentences vary in mentalizing content
discourse_physics_singles_list2,sentence_semantics,conceptual_content,high,no,How much sentence evokes physical objects/interactions; content evoked.,Rate 1-7 how much evokes physical objects; single sentences vary in content
discourse_scenes_singles_list1,sentence_semantics,conceptual_content,high,no,How much sentence evokes places/scenes/environments; content evoked.,Rate 1-7 how much evokes places/scenes; single sentences vary in content
ecog_sentences_imaginability_jan_8_2014,sentence_semantics,conceptual_content,high,no,Ease of imagining the situation described; imageability of sentence content.,How easy to imagine situation 1-5; single sentences vary in imageable content
eunice_disfluency_2_nov_17_2011,syntax,,high,no,Naturalness varying disfluency ('uh') placement and RC extraposition.,How natural does sentence sound; 'uh' position and clause order vary
extension_study,lexical_other,,high,no,Naturalness pairs differing only in lexical choice (abbreviation vs full form); not a meaning dimension.,"How natural 1-7; UK/United Kingdom, mic/microphone, vet/veterinarian etc. pairs vary only in word choice"
giurgea2025_motivation,lexical_semantics,conceptual,high,no,Word-level 'motivation' association is a semantic-feature/conceptual meaning dimension.,Rate word 1-7 for motivation association; single words vary
huang_response_set2a,syntax,,high,no,Naturalness of embedded multiple-wh questions; structure varies.,Rate naturalness 1-7; 'What did X V that Y bought/sold' multiple-wh frames vary
