id,level,sublevel,confidence,borderline,reason,evidence
acceptability_replication_959,syntax,,high,no,Acceptability of sentences with scrambled vs correct word order,Rate acceptability 1-7; word order scrambled ('A ball in flying can the air hurt') vs grammatical original
acd_project_expt_24_same_diff_verbs_nov_16_2012,syntax,,high,no,"ACD ellipsis in isolation, verb-match manipulation, single sentences",How natural 1-5; 'was ignoring every paste that...ignored/recommended/was' verb identity varies
acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,syntax,,high,no,"ACD ellipsis in isolation, 'also'+verb vs 'also did' manipulation","How natural 1-5; 'client also balanced/also did/balanced/did' ellipsis variants, single sentence"
alex_paunov_literal_inferences_dec_3_2011,pragmatics,,high,no,"Literalness of a reply given a question, matches codebook literalness category","How literal is the reply 1-5; question+reply pairs, reply literalness varies ('Yes, I am' vs 'I get up 5x a night')"
brief_sentence_naturalness_survey_march_2011,sentence_semantics,plausibility,high,no,Naturalness of animacy-anomalous sentences; meaning varies not structure,How natural 1-5; 'A necklace described someone/something' vs 'A painting studied someone' - selectional/animacy violation varies
chomsky_items_2,syntax,,high,no,Multiple-wh construction naturalness,How natural 1-5; 'I wonder who saw what' vs 'I wonder what who saw' - wh-word order varies
coherence_survey_list2_main,discourse,,high,no,Connectedness/likelihood-in-sequence rating between two sentences,"Rate connectedness 1-5 of sentence pairs; some pairs coherent, some randomly paired"
copy_cat_polly_june_2014,discourse,,high,no,Likelihood of a causal statement given a preceding passage,How likely is causal statement true given passage 1-7; passage + 'because' statement varies with antecedent structure
cul_jack_sentence_naturalness_survey_april_2010,syntax,,high,no,Multiple-wh construction naturalness,How natural 1-5; 'tried to remember what who wrote' vs 'who wrote what' order variants
depth_charge_survey,sentence_semantics,plausibility,medium,yes,Depth-charge (too-ADJ-to) comparative-illusion sentences; meaning not structure varies; folder says syntax,Makes sense 1-7; 'No applicant is too experienced/inexperienced to be rejected' - adjective polarity varies (comparative illusion)
discourse_30subjs_list3,discourse,,high,no,Connectedness/likelihood-in-sequence rating between sentence pairs,"Rate connectedness 1-5 of sentence pairs, same paradigm as coherence_survey"
discourse_causality_list4,discourse,,high,no,Causal relation between S1 and S2,"To what extent does S1 cause S2, 1-7; sentence pairs vary in causal relatedness"
discourse_coherence_list4,discourse,,high,no,Whether S2 makes sense given S1,"How much sense does S2 make given S1, 1-7; sentence pairs vary in coherence"
discourse_imagability_singles_list3,sentence_semantics,conceptual_content,high,yes,Single-sentence imageability/visualizability; content rating despite discourse_ project name,"How easy to visualize 1-7; single sentences ('A backpack carries...') rated individually, no pairing"
discourse_mentalizing_singles_list2,sentence_semantics,conceptual_content,high,yes,Single-sentence mental-states content rating despite discourse_ project name,How much does sentence evoke others' thoughts/beliefs/emotions 1-7; single sentences rated individually
discourse_physics_singles_list1,sentence_semantics,conceptual_content,high,yes,Single-sentence physical-object content rating despite discourse_ project name,How much does sentence evoke physical objects/interactions 1-7; single sentences rated individually
discourse_scenes_pairs_list2,sentence_semantics,conceptual_content,medium,yes,"Sentence pair rated as one content unit (scenes/places), not a connectedness judgment","How much do these sentences evoke places/scenes 1-7; pair treated jointly, not asked about their relation"
diveica2023_socialness,lexical_semantics,conceptual,high,no,"Word-level socialness rating, a conceptual meaning dimension",Rate socialness of word 1-7; single words vary in social relevance of meaning
erp_sentence_naturalness_survey_june_2013_2,syntax,,high,no,Naturalness with missing subject pronoun/relative pronoun; structural deletion varies,How natural 1-5; '...after had been...' vs '...after he had been...' - missing subordinator/pronoun varies
extension,syntax,,high,no,Acceptability of sentences with scrambled word order,Rate acceptability 1-7; 'Almost everyone is a little bit ethnocentric' vs scrambled variants
gatti2024_pseudoword_valence_semantic_task,subword,,high,no,Pseudoword valence rating; form-driven per codebook explicit rule,"How positive/negative is the meaning the new word suggests 1-9; stimuli are pseudowords (acleat, acmure)"
huang_response_set1b,syntax,,high,no,Wh-extraction naturalness varying matrix (bridge/non-bridge) verb,How natural 1-7; 'What did Barbara believe/deceive/daydream/glare that X wrote' - verb type varies (island effect)
imperative_control_iad_gs_may_16_2011_purple_puppy,pragmatics,,medium,yes,Felicity of imperative utterance in a constant situation; naturalness question but situation-dependent per rule 5,"How natural does utterance sound in situation 1-5; same situation, imperative form varies (Do sing/Sing/Everyone sing)"
kuperman2012_age_of_acquisition,lexical_other,,high,no,"Age of acquisition, explicit lexical_other category","Age in years at which word was learned; word-level, not a meaning dimension"
lancaster2020_haptic,lexical_semantics,perceptual_motor,high,no,Word-level haptic/touch sensory-strength rating,Rate how much word is experienced through touch 0-5; single words
lancaster2020_torso,lexical_semantics,perceptual_motor,high,no,Word-level torso/body-action strength rating (motor/effector),Rate how much word is experienced through torso actions 0-5; single words
lexical_frame_adjectives_likert_set1,syntax,,medium,no,Naturalness of factive-adjective complement-clause frames; subcategorization varies by adjective,Rate sentence 1-5; 'Barbara was angry/disappointed/ashamed that X Ved something' - adjective+complement frame varies
massive_mem_arousal_mar_2013_end_2,lexical_semantics,affective,high,no,Word/phrase arousal rating,How exciting or calming is the word/phrase 1-5; single words/names
massive_mem_concreteness_mar_2014,lexical_semantics,perceptual_motor,high,no,Word concreteness rating,How concrete or abstract is the word 1-5; single words
massive_mem_familiarity_mar_2014_end_1,lexical_other,,high,no,"Word familiarity rating, explicit lexical_other category","How familiar is the word 1-5; single words, not a meaning dimension"
