unit,mean,std,n,individual_ratings
A fire drill disrupted the lesson on American history.,3.2667,1.7499,30,"[3, 5, 7, 1, 4, 6, 2, 3, 2, 6, 2, 1, 1, 2, 2, 2, 3, 5, 4, 5, 6, 1, 1, 5, 2, 3, 2, 5, 4, 3]"
Aaron couldn't get the catchy tune out of his mind.,1.6667,1.3499,30,"[1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 4, 1, 1, 5, 1, 1, 1, 6, 1, 1]"
Alan loved the cranberry sauce at dinner.,2.7,1.7729,30,"[5, 2, 7, 1, 2, 4, 1, 3, 1, 4, 1, 3, 1, 2, 1, 1, 1, 3, 4, 1, 6, 1, 2, 4, 2, 2, 2, 7, 3, 4]"
Alicia stayed up for two days straight to complete the project.,1.8667,1.4545,30,"[2, 2, 1, 1, 1, 4, 1, 3, 1, 3, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 6, 1, 1, 1, 7, 1, 1]"
Books can provide knowledge and act as stylish dcor,2.0333,1.2243,30,"[3, 5, 1, 1, 2, 3, 1, 3, 1, 2, 1, 1, 4, 2, 1, 1, 1, 2, 4, 1, 3, 1, 2, 2, 2, 5, 1, 1, 3, 1]"
Bright spaces feel more open and welcoming.,4.3667,1.5808,30,"[4, 7, 7, 5, 5, 5, 3, 4, 6, 6, 5, 4, 7, 5, 5, 1, 3, 4, 5, 5, 6, 2, 2, 1, 3, 4, 4, 5, 5, 3]"
Chris was able to walk away without hesitation.,1.8333,1.098,30,"[1, 2, 1, 3, 1, 3, 2, 3, 1, 2, 1, 2, 1, 2, 1, 1, 3, 2, 2, 1, 2, 1, 2, 5, 1, 1, 1, 5, 1, 1]"
Communities with fresh water access have fewer heath issues.,3.7667,1.7641,30,"[2, 3, 1, 2, 2, 5, 6, 2, 5, 7, 2, 6, 5, 5, 2, 1, 2, 3, 5, 5, 6, 4, 2, 5, 5, 2, 2, 5, 5, 6]"
Dinner at the hotel was accompanied by hula dancing.,4.8333,2.1305,30,"[5, 6, 7, 2, 7, 7, 4, 5, 7, 7, 1, 1, 1, 6, 1, 3, 6, 5, 5, 3, 6, 1, 6, 7, 5, 6, 5, 7, 7, 6]"
Dinner reservations doubled the following week.,2.6333,1.663,30,"[1, 5, 1, 1, 1, 5, 2, 2, 2, 4, 1, 3, 5, 4, 1, 1, 1, 2, 6, 1, 3, 1, 1, 3, 3, 2, 2, 5, 4, 6]"
