category,folder,file,converted
A_rating_convertible,'9.59 Project - Claire & Scott ' @ 29 Apr 09-45 (for Scott),2011-04-29_Batch_507209.csv,1
A_rating_convertible,16 sentences expt6--Noisy Channel- sep 6 2011,2011-09-09_Batch_598981.csv,0
A_rating_convertible,20 sentences norming--Noisy Channel-Jan2,2012-01-02_Batch_682209.csv,0
A_rating_convertible,20 sentences norming--Noisy Channel-Jan2,2012-01-02_Batch_682208.csv,0
A_rating_convertible,20 sentences norming--Noisy Channel-Jan2,2012-01-02_Batch_682212.csv,0
A_rating_convertible,20 sentences norming--Noisy Channel-Jan2,2012-01-02_Batch_682207.csv,0
A_rating_convertible,20 sentences norming--Noisy Channel-Jan2,2012-01-02_Batch_682211.csv,0
A_rating_convertible,2018.09 Yingtong_negation CODE- Happy Dog,2018-09-17_Batch_3373935.csv,0
A_rating_convertible,2018.09 Yingtong_negation CODE- Happy Dog,2018-09-18_Batch_3374791.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group1,2018-09-07_Batch_3364774.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group1,2018-09-09_Batch_3366230.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group1,2018-09-10_Batch_3366568.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group1,2018-09-09_Batch_3366065.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group2,2018-09-09_Batch_3366069.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group2,2018-09-09_Batch_3366231.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group2,2018-09-10_Batch_3366576.csv,0
A_rating_convertible,2018.09 Yingtong_rel_group2,2018-09-07_Batch_3364785.csv,0
A_rating_convertible,2wh-3wh Sentence naturalness survey April 2011,2011-04-27_Batch_505619.csv,1
A_rating_convertible,50 sentences --Noisy Channel- may 25 2011,2011-05-26_Batch_526058.csv,1
A_rating_convertible,50 sentences expt2_v3--Noisy Channel- may 28 2011,2011-08-06_Batch_577504.csv,0
A_rating_convertible,50 sentences expt2_v3--Noisy Channel- sep 6 2011,2011-09-07_Batch_597659.csv,0
A_rating_convertible,50 sentences v2--Noisy Channel- may 26 2011,2011-05-27_Batch_527176.csv,0
A_rating_convertible,50 sentences v2--Noisy Channel- may 26 2011,2011-05-27_Batch_526849.csv,0
A_rating_convertible,50 sentences v2--Noisy Channel- may 28 2011,2011-05-28_Batch_527672.csv,0
A_rating_convertible,50 sentences with 2 comp qs plus rating mar 11 2011,2011-03-11_Batch_468152.csv,1
A_rating_convertible,60 sentences norming--Noisy Channel-Nov26,2011-11-26_Batch_656162.csv,0
A_rating_convertible,60 sentences norming--Noisy Channel-Nov26,2011-11-26_Batch_656159.csv,0
A_rating_convertible,60 sentences norming--Noisy Channel-Nov26,2011-11-26_Batch_656165.csv,0
A_rating_convertible,70 sentences expt6--Noisy Channel- sep 6 2011,2011-09-08_Batch_598610.csv,0
A_rating_convertible,9.59 Project - Claire & Scott,2011-04-29_Batch_507208.csv,1
A_rating_convertible,9.59 Project - Claire & Scott,2011-04-27_Batch_505824.csv,1
A_rating_convertible,9.59 class demo 1,2020-04-06_Batch_3983002.csv,0
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-26_Batch_973401.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-23_Batch_971461.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-26_Batch_973761.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-27_Batch_974491.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-24_Batch_971758.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-26_Batch_973496.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-24_Batch_971982.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-24_Batch_972055.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-24_Batch_971830.csv,1
A_rating_convertible,ACD context polly 1 nov 23 2012,2012-11-26_Batch_972942.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-23_Batch_971462.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-24_Batch_971874.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-24_Batch_971912.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-26_Batch_973757.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-26_Batch_973581.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-27_Batch_974498.csv,1
A_rating_convertible,ACD no context polly 1; nov 23 2012,2012-11-24_Batch_971822.csv,1
A_rating_convertible,ACD project- also 2; nov 22 2012 1,2012-11-22_Batch_970784.csv,1
A_rating_convertible,ACD project- also 3; nov 24 2012 2,2012-11-24_Batch_971763.csv,1
A_rating_convertible,ACD project- expt 23 also; nov 16 2012,2012-11-16_Batch_966052.csv,1
A_rating_convertible,ACD project- expt 23 also; nov 16 2012,2012-11-29_Batch_976548.csv,1
A_rating_convertible,ACD project- expt 24 same-diff verbs; nov 16 2012,2012-11-22_Batch_970754.csv,1
A_rating_convertible,ACD project- expt 24 same-diff verbs; nov 16 2012,2012-11-16_Batch_966077.csv,1
A_rating_convertible,ACD project- expt 24 same-diff verbs; nov 16 2012,2012-11-27_Batch_974401.csv,1
A_rating_convertible,ACD project- expt 24 same-diff verbs; nov 16 2012,2012-11-22_Batch_970942.csv,1
A_rating_convertible,ACD project- expt 31 same-diff verbs; nov 16 2012 1,2012-11-24_Batch_971756.csv,1
A_rating_convertible,ACD project- expt 42 also verbs; nov 29 2012 1,2012-11-28_Batch_976306.csv,1
A_rating_convertible,ACD project- expt 44 the same; nov 29 2012 1,2012-11-29_Batch_976580.csv,1
A_rating_convertible,ACD project- expt 45 HKV expt 2 plaus; nov 29 2012,2012-11-29_Batch_976722.csv,1
A_rating_convertible,ACD project- expt 45 HKV expt 2 plaus; nov 29 2012,2012-11-29_Batch_976581.csv,1
A_rating_convertible,ACD project- expt 46 also in HKV 2; nov 29 2012 1,2012-11-29_Batch_976584.csv,1
A_rating_convertible,Abby's thing 12 verbs x 150,2021-11-09_Batch_4598137.csv,0
A_rating_convertible,Abby's thing control50,2021-10-29_Batch_4588433.csv,0
A_rating_convertible,Abby's thing control6,2021-10-29_Batch_4588237.csv,0
A_rating_convertible,Abby's thing pilot50,2021-10-22_Batch_4583037.csv,0
A_rating_convertible,Abby's thing pilot6,2021-10-20_Batch_4581250.csv,0
A_rating_convertible,Acceptability Judgments - Kang,2014-10-31_Batch_1717824.csv,1
A_rating_convertible,Acceptability Judgments - Kang,2014-10-28_Batch_1714071.csv,1
A_rating_convertible,Active passive sentence naturalness survey july 2012,2012-07-11_Batch_850206.csv,1
A_rating_convertible,Active passive sentence naturalness survey july 2012,2012-07-11_Batch_850219.csv,1
A_rating_convertible,Agreement norming Nov,2011-11-18_Batch_649992.csv,1
A_rating_convertible,Agreement norming Nov,2011-11-18_Batch_649700.csv,1
