unit,mean,std,n,individual_ratings,item_type
Barbara was ashamed that Robert desired something.,3.55,0.9987,20,"[4, 4, 3, 3, 3, 3, 4, 5, 4, 3, 3, 5, 4, 1, 3, 4, 4, 4, 2, 5]",test
Barbara was irate that Richard sold something.,3.9,1.0712,20,"[5, 1, 3, 4, 4, 5, 4, 5, 4, 3, 5, 5, 4, 2, 3, 5, 4, 4, 4, 4]",test
Barbara was irate that Richard understood.,3.45,1.3945,20,"[5, 4, 2, 4, 2, 5, 1, 5, 3, 3, 4, 2, 5, 1, 4, 5, 5, 2, 3, 4]",filler
Barbara was optimistic that James cried.,3.15,1.4244,20,"[5, 1, 2, 4, 3, 2, 3, 5, 2, 3, 5, 5, 1, 1, 4, 5, 2, 3, 3, 4]",filler
Barbara was relieved that Robert waited.,4.65,0.6708,20,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5]",filler
Barbara was sure that Richard sold something.,4.6,0.7539,20,"[5, 5, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5]",test
Charles was anxious that Lisa cried.,3.45,1.4681,20,"[5, 1, 2, 4, 1, 2, 4, 4, 4, 3, 5, 4, 5, 4, 5, 1, 5, 3, 5, 2]",filler
Charles was anxious that Lisa sold something.,3.5,1.3179,20,"[5, 1, 5, 4, 2, 5, 4, 5, 4, 3, 4, 4, 3, 2, 4, 1, 5, 3, 2, 4]",test
Charles was concerned that Karen needed something.,4.45,0.7592,20,"[5, 5, 3, 3, 4, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5]",test
Charles was disappointed that Michael bought something.,4.2,0.8335,20,"[5, 3, 3, 4, 4, 5, 4, 5, 5, 3, 4, 4, 5, 5, 3, 5, 5, 3, 5, 4]",test
Charles was distraught that Sarah consented.,3.75,1.118,20,"[5, 4, 2, 3, 4, 5, 5, 5, 4, 3, 4, 5, 3, 4, 4, 4, 4, 2, 4, 1]",filler
Charles was distraught that Sarah preferred something.,3.1,1.2096,20,"[3, 1, 3, 4, 2, 5, 3, 5, 2, 3, 3, 4, 3, 2, 3, 5, 5, 2, 2, 2]",test
Charles was ecstatic that Mary concurred.,4.2632,0.8719,19,"[5, 5, 4, 3, 5, 4, 5, 5, 5, 3, 4, 5, 4, 5, 4, 5, 4, 2, 4]",filler
Charles was indignant that Robert disagreed.,3.8,1.1965,20,"[5, 4, 3, 3, 4, 1, 2, 5, 4, 5, 5, 4, 5, 5, 4, 5, 4, 2, 3, 3]",filler
Charles was positive that Lisa understood something.,4.45,0.887,20,"[5, 4, 4, 3, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 2, 5, 5]",test
Charles was positive that Lisa understood.,4.6,0.6806,20,"[5, 5, 3, 3, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5]",filler
Charles was shocked that Thomas desired something.,3.95,0.887,20,"[3, 4, 4, 3, 3, 5, 3, 5, 4, 4, 5, 5, 3, 4, 4, 4, 5, 4, 2, 5]",test
Christopher was bitter that William misunderstood.,3.55,1.4681,20,"[5, 1, 2, 4, 4, 5, 2, 5, 4, 3, 5, 5, 5, 5, 3, 5, 2, 2, 1, 3]",filler
Christopher was concerned that Michael stole something.,4.5,0.6882,20,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 3, 4, 5, 4, 5, 4]",test
Christopher was convinced that Nancy disagreed.,4.2,0.9515,20,"[5, 4, 2, 3, 4, 5, 5, 5, 5, 3, 3, 5, 5, 4, 4, 5, 5, 4, 3, 5]",filler
Christopher was ecstatic that James stole something.,3.0526,1.3529,19,"[5, 1, 3, 4, 1, 2, 5, 2, 4, 4, 4, 4, 1, 4, 2, 4, 2, 2, 4]",test
Christopher was enraged that Joseph disagreed.,4.3158,1.0029,19,"[5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 3, 5, 5, 3, 4, 2]",filler
Christopher was excited that Nancy laughed.,4.4,0.5026,20,"[5, 4, 4, 4, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4]",filler
Christopher was glad that Barbara needed something.,4.2,1.0052,20,"[5, 5, 4, 4, 4, 5, 4, 5, 3, 4, 5, 5, 4, 2, 3, 5, 5, 2, 5, 5]",test
Christopher was irritated that Robert arrived.,4.25,0.7164,20,"[5, 4, 4, 5, 4, 5, 3, 5, 4, 3, 4, 4, 5, 5, 3, 4, 5, 4, 5, 4]",filler
Christopher was mad that Robert smiled.,4.4,0.8208,20,"[5, 4, 4, 4, 4, 5, 5, 5, 5, 3, 4, 5, 5, 2, 4, 5, 5, 4, 5, 5]",filler
Christopher was sorry that Charles broke something.,4.35,1.04,20,"[5, 4, 4, 3, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 3, 4, 5, 2, 5, 5]",test
Daniel was angry that Patricia misunderstood.,4.3158,0.8852,19,"[5, 5, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 2, 4, 4, 4, 4, 5, 4]",filler
Daniel was angry that Patricia needed something.,4.1053,1.0485,19,"[5, 4, 2, 5, 4, 5, 5, 5, 5, 3, 5, 4, 2, 3, 5, 5, 4, 3, 4]",test
