unit,mean,std,n,individual_ratings,item_type
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,4.35,0.9881,20,"[4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 2, 5, 5, 2, 5, 5, 3]",test
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,4.35,0.8127,20,"[4, 4, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 3, 5, 4, 2]",test
A flight attendant collected empty cups from the passengers. The pilot announced the descent over the intercom.,4.3,0.8013,20,"[4, 4, 4, 5, 4, 5, 4, 4, 5, 4, 4, 5, 5, 3, 2, 4, 5, 5, 5, 5]",test
A high-quality coffee shop is a staple of any town. Urbanites and suburbanites alike need their daily caffeine hit.,4.8,0.4104,20,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5]",test
A high-speed rail service launched between Paris and Berlin. The trains are capable of speeds of up to 300 kilometers per hour,4.85,0.4894,20,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]",test
A mountain climbing team reached the summit of K2 last month. The eatery specializes in farm-to-table dishes.,1.05,0.2236,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",test
A new vocational training program was introduced in the community. Employment rates for local residents improved significantly.,4.3,1.1286,20,"[4, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 2, 1, 4, 5]",test
A popular social media platform introduced new privacy settings. The sand dunes change shape and location constantly.,1.0,0.0,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,4.8,0.6959,20,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 5, 5, 5]",test
A productive morning routine can set the tone for the rest of the day. Attendees can enjoy live performances and art displays.,1.3158,0.671,19,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 3]",test
A rat gnawed through the cables in the walls. Several customers complained about the dish.,1.4,0.7539,20,"[1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 1]",test
A series of unusual occurrences plagued the small town. Susan dressed in a tank-top and breathable shorts.,1.2105,0.4189,19,"[1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]",test
A solid education lays the foundation for future success. Fans praised the intricate plot twists and rich character development.,1.25,0.7164,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 2]",test
A teacher implemented innovative teaching methods in the classroom. Student engagement and participation levels increased.,4.95,0.2236,20,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]",test
A well-stocked bookshelf can transform a living room. Practical tips inspire readers to adopt eco-friendly practices.,2.55,1.3563,20,"[1, 4, 1, 5, 4, 4, 3, 2, 3, 3, 1, 1, 1, 2, 1, 3, 3, 1, 4, 4]",test
A wildlife sanctuary was recently established in the Amazon rainforest. The reserve protects hundreds of endangered species,4.85,0.4894,20,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]",test
An environmental group launched a campaign to reduce water pollution. Fans were left disappointed and searching for resales.,1.55,1.191,20,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 4, 1, 3, 1]",test
Artists turn blank canvases into a masterpieces. The activist campaigned for change to protect the environment.,1.35,0.4894,20,"[1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2]",test
Bradley arrived at the airport by taxi. A fire drill disrupted the lesson on American history.,1.35,0.9881,20,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 5]",test
Clean drinking water is a basic human necessity. Happy consumers are more likely to recommend the service to others.,1.6,1.0463,20,"[1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 5, 1, 3, 3]",test
David meticulously planned each step of his journey. The dog was trembling with fear at the claps of thunder.,1.45,0.8256,20,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 3, 1, 1, 2, 2, 1, 1, 1]",test
Emma found the presentation engaging and informative. Mark thought the speaker was boring and repetitive.,4.65,0.5871,20,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 4, 5, 4, 4, 5]",test
Excellent customer service can make or break a business. The production will be a modern take on the original show.,1.35,0.5871,20,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3]",test
Good lighting can completely change the atmosphere of a room. The reserve protects hundreds of endangered species,1.15,0.4894,20,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]",test
Jenny has been complaining about her failed relationship for months. Rebecca thinks that breaking up is the only option.,4.65,0.7452,20,"[5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5]",test
Jenny's dress was bright and cheerful. Chris was able to walk away without hesitation.,1.5,0.6882,20,"[1, 2, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 2, 1]",test
