"file","domain","language","preamble_chars","task_sentences","procedural_sentences","task_content_types","adds_content_beyond_current_instruction","notes"
"clefting_e4_rep2","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"extension","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"susan_canonicity_rerunning","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"susan_canonicity_rerunning_2","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"susan_canonicity_rerunning_3","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"constituency_tests","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"constituency_tests_2","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"clefting_e3","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"topicalization_e1_v2","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"topicalization_e2","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"clefting_e4","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"clefting_e4_rep","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"topicalization_e1","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"depth_charge_survey","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"acceptability_replication_959","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"replication_study_9_59","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"replication_v6","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"lexical_frame_adjectives_likert_set1","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"lexical_frame_adjectives_likert_set2","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"lexical_frame_adjectives_likert_set3","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"demo_9_59_2026","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
"demo_9_59_2025","syntax","english","91","","Please read each sentence and then answer the question immediately following.","","no",""
