dataset,domain,status,type,severity,verified,verify_note,fixable_from_raw,description,evidence,proposed_fix,missing_info
copy_cat_polly_june_2014_v2_1,mturk,issues,wrong_or_generic_dimension,high,True,,yes,"Instruction says generic 'Rate the passage.' with no dimension named, though raw Title/Description explicitly state the task rates causality, and the unit itself embeds a 'How likely is the following causal statement:' question that the generic wrapper never references.","Raw Title/Description = '30 short texts to be rated for their causality: survey code = LONELY PELICAN' (2014-06-12_Batch_1567519.csv). Instruction = 'Rate the passage.' Scale check: raw Answer.Rating1-30 cells and converted individual_ratings both range 1-7 exactly, matching stated scale.","Rate how likely the causal statement in the passage is to be true.
Rate on a scale from 1 (very unlikely) to 7 (very likely).
Answer with one number.

<<{sentence}>>",
copy_cat_polly_june_2014_v2_1,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/copy_cat_polly_june_2014_v2_1_i.txt line 2.,,
copy_of_verb_causality_study_semantics_ratings_mk_april_2010,mturk,issues,wrong_placeholder,high,True,,yes,"Units are bare single words (verbs, e.g. 'abolishing', 'altering') but the template wraps the unit in <<{sentence}>>; the instruction prose already correctly says 'the word' but the placeholder token doesn't match the unit type.","Converted units: 'abolishing','altering','appearing','bleeding',... Raw Input.verb1='rolling', Input.verb2='thawing' (2010-04-20_Batch_226977.csv) -- no sentence context exists anywhere in the raw HIT (only Input.verb*, Answer.Rating* [1-5, causality], Answer.Syllable* [2-6, unused filler question]). Scale check: raw Answer.Rating cells and converted individual_ratings both range 1-5 exactly.","Rate the word on causality.
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{word}>>",
copy_of_verb_causality_study_semantics_ratings_mk_april_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/copy_of_verb_causality_study_semantics_ratings_mk_april_2010_i.txt line 2.,,
copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010,mturk,issues,wrong_placeholder,high,True,,yes,Same issue as the MK-april-2010 sibling: units are bare single words but the template uses <<{sentence}>>.,"Raw HIT (2010-04-20_Batch_226979.csv) has only Input.verb* columns, no sentence context, identical design to sibling. Converted individual_ratings min=1 max=5 matching stated scale.","Rate the word on causality.
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{word}>>",
copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010_i.txt line 2.,,
copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010,mturk,issues,wrong_placeholder,high,True,,yes,Same issue as sibling verb-causality datasets: units are bare single words but template uses <<{sentence}>>.,"Raw HIT (2010-04-20_Batch_226978.csv) has only Input.verb* columns, no sentence context. Converted individual_ratings min=1 max=5 matching stated scale.","Rate the word on causality.
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{word}>>",
copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010_i.txt line 2.,,
copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010,mturk,issues,wrong_placeholder,high,True,,yes,Same issue as sibling verb-causality datasets: units are bare single words but template uses <<{sentence}>>.,"Raw HIT (2010-04-20_Batch_226976.csv) has only Input.verb* columns, no sentence context. Converted individual_ratings min=1 max=5 matching stated scale.","Rate the word on causality.
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{word}>>",
copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010_i.txt line 2.,,
