unit,mean,std,n,individual_ratings,item_type
A fire drill disrupted the lesson on American history.,3.1333,1.6965,30,"[5, 3, 2, 4, 4, 1, 5, 3, 2, 2, 4, 2, 1, 2, 4, 4, 2, 3, 2, 4, 1, 4, 5, 1, 1, 6, 1, 6, 3, 7]",test
Aaron couldn't get the catchy tune out of his mind.,5.2667,1.3374,30,"[5, 6, 7, 4, 6, 7, 7, 5, 3, 6, 5, 3, 7, 6, 4, 3, 3, 5, 4, 6, 4, 7, 5, 6, 7, 4, 6, 6, 5, 6]",test
Alan loved the cranberry sauce at dinner.,5.069,1.6889,29,"[4, 5, 7, 4, 5, 6, 6, 5, 3, 3, 6, 7, 3, 7, 4, 1, 2, 6, 7, 7, 7, 6, 7, 5, 3, 6, 5, 6, 4]",test
Alicia stayed up for two days straight to complete the project.,5.0667,1.5522,30,"[5, 7, 7, 6, 6, 4, 7, 6, 4, 3, 4, 3, 4, 2, 7, 5, 3, 5, 4, 6, 4, 7, 6, 6, 2, 4, 6, 6, 6, 7]",test
Books can provide knowledge and act as stylish décor,2.2759,1.7504,29,"[2, 3, 2, 3, 5, 4, 1, 2, 2, 2, 1, 1, 1, 7, 1, 1, 6, 1, 2, 1, 1, 3, 1, 1, 3, 1, 6, 1, 1]",test
Bright spaces feel more open and welcoming.,3.1,1.6049,30,"[2, 3, 1, 4, 4, 4, 5, 5, 2, 4, 4, 5, 2, 2, 7, 2, 1, 2, 2, 3, 1, 1, 5, 4, 1, 5, 5, 3, 2, 2]",test
Chris was able to walk away without hesitation.,5.1,1.6263,30,"[5, 3, 7, 4, 5, 7, 6, 6, 2, 6, 4, 2, 5, 6, 7, 3, 4, 3, 4, 7, 5, 7, 7, 7, 5, 3, 6, 6, 4, 7]",test
Communities with fresh water access have fewer heath issues.,3.2667,1.7991,30,"[6, 3, 2, 4, 4, 6, 2, 6, 3, 2, 2, 2, 1, 2, 7, 3, 1, 6, 1, 3, 3, 2, 3, 1, 1, 4, 5, 6, 3, 4]",test
Dinner at the hotel was accompanied by hula dancing.,3.0333,1.8843,30,"[2, 5, 2, 5, 3, 1, 2, 6, 2, 6, 2, 1, 2, 2, 6, 6, 1, 5, 2, 1, 1, 2, 5, 4, 1, 5, 1, 4, 5, 1]",test
Dinner reservations doubled the following week.,2.6333,1.7515,30,"[2, 3, 2, 5, 2, 6, 1, 6, 4, 2, 1, 1, 1, 2, 7, 2, 1, 3, 2, 3, 1, 1, 2, 1, 1, 4, 1, 5, 3, 4]",test
Emma acted quickly and confidently.,5.1,1.9182,30,"[2, 3, 7, 5, 7, 1, 7, 6, 2, 6, 3, 6, 6, 6, 7, 3, 2, 6, 4, 7, 4, 7, 5, 7, 7, 5, 7, 5, 3, 7]",test
Employment rates for local residents went up.,3.2,1.6692,30,"[5, 4, 1, 3, 2, 4, 4, 4, 3, 2, 3, 2, 1, 2, 7, 5, 2, 4, 1, 5, 1, 7, 2, 3, 2, 4, 1, 5, 3, 4]",test
Everyone needs their daily caffeine hit.,3.1,1.8819,30,"[1, 2, 1, 4, 4, 7, 4, 5, 2, 3, 2, 3, 1, 2, 7, 2, 1, 1, 2, 3, 2, 4, 6, 4, 1, 4, 1, 4, 3, 7]",test
Fans were left disappointed and searching for resales.,5.3333,1.5162,30,"[5, 6, 6, 5, 5, 6, 7, 7, 4, 6, 5, 5, 7, 6, 7, 3, 3, 4, 5, 7, 6, 5, 7, 7, 5, 3, 6, 7, 4, 1]",test
Flowers add beauty to a windowsill.,3.1379,1.7055,29,"[3, 3, 2, 4, 4, 3, 2, 5, 4, 1, 5, 2, 2, 7, 1, 1, 5, 3, 3, 1, 1, 5, 3, 1, 4, 4, 6, 1, 5]",test
Food banks offer meals to those in need.,3.8,2.024,30,"[6, 3, 6, 6, 3, 7, 4, 2, 4, 2, 2, 2, 2, 2, 7, 3, 1, 5, 2, 3, 5, 2, 5, 7, 1, 3, 1, 6, 5, 7]",test
Grace greeted everyone and made lively conversation.,5.1333,1.6761,30,"[4, 6, 6, 6, 5, 1, 7, 6, 2, 6, 3, 5, 7, 6, 7, 3, 2, 6, 5, 6, 3, 7, 6, 7, 5, 4, 6, 5, 5, 7]",test
Helmets guard heads during sporting events.,2.4483,1.3519,29,"[3, 3, 2, 3, 4, 1, 4, 2, 1, 2, 1, 2, 3, 3, 3, 1, 4, 2, 2, 3, 4, 2, 1, 1, 2, 1, 3, 1, 7]",test
Inside the house everything was calm and peaceful.,3.6552,2.0577,29,"[1, 2, 4, 2, 7, 4, 3, 3, 6, 3, 6, 2, 2, 6, 3, 2, 5, 2, 3, 1, 1, 7, 6, 7, 2, 2, 5, 2, 7]",test
It started raining in the middle of the kickball game.,3.1,1.4468,30,"[2, 4, 2, 4, 5, 4, 2, 5, 5, 2, 3, 1, 1, 3, 6, 4, 2, 2, 2, 3, 2, 2, 6, 5, 1, 2, 3, 3, 3, 4]",test
Jane solved the equation in a few minutes.,3.9667,1.9384,30,"[4, 1, 7, 4, 5, 1, 7, 5, 2, 2, 4, 2, 5, 2, 7, 3, 2, 3, 2, 4, 3, 7, 6, 6, 1, 3, 6, 5, 5, 5]",test
John discovered that his bag had been lost in transit.,5.3333,1.6678,30,"[4, 5, 6, 6, 6, 7, 7, 6, 5, 6, 3, 3, 6, 1, 7, 6, 5, 5, 4, 6, 1, 7, 6, 7, 7, 5, 5, 7, 7, 4]",test
John was late to pick up his daughter from school.,4.931,1.8113,29,"[6, 6, 7, 5, 5, 7, 7, 7, 4, 2, 3, 1, 5, 7, 5, 2, 3, 4, 6, 1, 6, 5, 6, 4, 5, 5, 6, 6, 7]",test
Lumberjacks struggled to sustain their livelihoods.,4.3333,1.7287,30,"[3, 5, 6, 4, 5, 1, 4, 6, 4, 4, 5, 5, 3, 2, 7, 4, 2, 6, 2, 5, 1, 7, 5, 6, 5, 4, 4, 6, 7, 2]",test
Many stores ran out of popular items.,2.5333,1.776,30,"[5, 2, 2, 2, 4, 6, 2, 2, 2, 2, 3, 1, 2, 2, 1, 1, 1, 4, 1, 3, 1, 4, 2, 1, 1, 3, 1, 7, 1, 7]",test
Marching bands and floats glided down the street.,2.8333,1.7237,30,"[2, 2, 2, 2, 4, 6, 2, 3, 6, 2, 2, 1, 1, 2, 7, 3, 5, 3, 2, 2, 1, 1, 5, 3, 1, 3, 1, 3, 2, 6]",test
Marcia could feel the boards wobble during the show.,4.7333,1.5071,30,"[5, 3, 7, 5, 5, 5, 6, 5, 2, 6, 3, 5, 7, 2, 7, 3, 4, 5, 6, 6, 2, 6, 6, 6, 5, 3, 5, 5, 4, 3]",test
Mark thought the speaker was boring and repetitive.,5.3333,1.5162,30,"[4, 5, 7, 4, 5, 1, 7, 6, 3, 6, 4, 6, 7, 5, 5, 4, 3, 5, 6, 7, 6, 6, 7, 6, 7, 3, 6, 6, 6, 7]",test
Moving through the security line took longer than usual.,3.3,1.784,30,"[2, 2, 2, 2, 4, 7, 7, 5, 2, 2, 3, 3, 5, 2, 4, 3, 1, 3, 1, 2, 3, 5, 6, 7, 2, 2, 1, 3, 4, 4]",test
Passengers crowded the gate waiting for further updates.,4.6667,1.9535,30,"[6, 7, 5, 6, 5, 7, 5, 6, 2, 2, 3, 2, 7, 2, 7, 5, 1, 5, 5, 6, 1, 6, 7, 6, 5, 5, 5, 5, 5, 1]",test
Practical tips help readers adopt eco-friendly practices.,2.6207,1.4979,29,"[2, 2, 2, 3, 7, 1, 2, 2, 5, 2, 1, 2, 2, 5, 3, 1, 5, 2, 2, 2, 2, 2, 2, 1, 3, 1, 5, 3, 4]",test
Rebecca thinks that breaking up is the only option.,6.0667,1.2576,30,"[5, 7, 7, 7, 7, 7, 7, 7, 2, 6, 4, 5, 7, 4, 7, 4, 6, 6, 6, 7, 7, 7, 6, 7, 7, 5, 7, 6, 6, 6]",test
Routes pass through historic towns and lush countryside.,2.6,1.6103,30,"[6, 3, 2, 2, 4, 1, 2, 2, 2, 2, 3, 1, 1, 2, 5, 2, 1, 3, 1, 2, 1, 2, 4, 4, 1, 4, 1, 5, 2, 7]",test
Stars illuminate the night sky.,2.4333,1.8511,30,"[5, 3, 2, 3, 1, 7, 2, 2, 3, 2, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 6, 3, 1, 5, 1, 2, 2, 7]",test
Steve's roasted chicken was charred and bitter.,3.5333,1.776,30,"[4, 3, 7, 4, 5, 4, 5, 6, 2, 6, 3, 2, 3, 1, 6, 4, 1, 2, 2, 5, 1, 5, 5, 2, 1, 3, 1, 5, 5, 3]",test
Stop signs in the small coastal town were knocked over.,2.6,1.5669,30,"[3, 2, 2, 3, 3, 7, 1, 4, 3, 2, 3, 1, 1, 2, 4, 3, 2, 2, 1, 2, 1, 1, 3, 4, 1, 3, 1, 4, 2, 7]",test
Student engagement and participation levels increased.,3.4333,1.7157,30,"[5, 2, 2, 4, 5, 7, 2, 6, 2, 6, 3, 5, 3, 2, 4, 3, 1, 4, 4, 3, 1, 1, 5, 2, 1, 3, 6, 4, 2, 5]",test
Student grades improved across the board.,3.3,1.622,30,"[5, 4, 2, 4, 5, 7, 2, 6, 4, 2, 2, 1, 2, 2, 7, 3, 1, 3, 2, 2, 4, 2, 3, 4, 1, 4, 4, 4, 3, 4]",test
The abstract piece uses vibrant colors to explore love.,3.1667,1.877,30,"[5, 6, 2, 2, 1, 1, 3, 2, 4, 6, 3, 5, 2, 5, 1, 2, 1, 2, 2, 5, 1, 1, 6, 2, 1, 5, 3, 6, 4, 6]",test
The airplane ride was smooth and calm.,3.6333,1.9561,30,"[2, 2, 2, 5, 5, 7, 5, 6, 3, 6, 4, 3, 2, 2, 7, 2, 1, 2, 3, 2, 1, 4, 6, 1, 2, 3, 5, 6, 3, 7]",test
The alleyway behind the shop reeked of garbage.,2.3,1.6432,30,"[2, 2, 1, 4, 2, 7, 4, 3, 4, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 6, 1, 1, 1, 4, 2, 2, 5]",test
The appliances in the kitchen short-circuited.,2.2667,1.7604,30,"[2, 3, 2, 5, 3, 4, 1, 1, 3, 2, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 6, 1, 6, 1, 7]",test
The arts create a shared experience that connects people.,3.8667,1.6554,30,"[6, 5, 1, 5, 5, 1, 4, 2, 4, 5, 2, 5, 4, 3, 4, 5, 3, 6, 2, 5, 1, 5, 5, 2, 3, 4, 6, 7, 4, 2]",test
