unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike.,4.1333,1.4559,30,"[5, 1, 6, 3, 4, 5, 5, 6, 2, 3, 3, 5, 6, 4, 7, 4, 4, 5, 3, 1, 4, 4, 4, 5, 6, 4, 5, 2, 4, 4]",test
A businessman began speaking loudly on the phone.,1.8333,1.3153,30,"[2, 3, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 2, 5, 1, 1, 1, 1, 2, 1, 1, 4, 1, 5, 2]",test
A high-speed train now connects Paris and Berlin.,5.3333,1.2685,30,"[7, 5, 7, 4, 5, 6, 5, 6, 6, 6, 3, 4, 5, 5, 4, 6, 6, 6, 2, 7, 7, 7, 4, 5, 7, 5, 4, 6, 5, 5]",test
A lighthouse guides ships to safety.,5.6,1.3025,30,"[7, 6, 6, 5, 6, 6, 6, 7, 5, 6, 7, 7, 6, 7, 5, 5, 6, 4, 4, 6, 1, 7, 4, 5, 6, 4, 7, 6, 6, 5]",test
A menacing storm rolled across the horizon.,5.6333,1.2172,30,"[6, 6, 7, 5, 6, 7, 6, 4, 6, 4, 7, 7, 3, 5, 5, 4, 7, 6, 3, 6, 4, 7, 6, 7, 6, 6, 5, 6, 7, 5]",test
A mountain climbing team reached the K2 summit.,6.5,0.6297,30,"[7, 7, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 5, 7, 6, 6, 6, 7, 7, 6, 7, 7, 7, 7, 5, 6, 7, 6, 7, 6]",test
A new restaurant opened downtown last week.,4.931,1.5102,29,"[6, 6, 3, 5, 6, 5, 6, 7, 2, 5, 5, 5, 2, 5, 5, 7, 5, 5, 4, 6, 2, 7, 3, 7, 4, 7, 5, 4, 4]",test
A productive morning routine sets the tone for the day.,2.0333,1.6078,30,"[1, 5, 2, 3, 2, 1, 1, 3, 1, 1, 1, 2, 1, 2, 4, 1, 6, 2, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 7, 1]",test
A rat gnawed through the cables in the walls.,3.3667,1.6709,30,"[5, 5, 2, 4, 6, 3, 2, 2, 5, 3, 1, 2, 6, 2, 5, 4, 5, 3, 2, 1, 2, 4, 1, 1, 3, 4, 6, 2, 6, 4]",test
A series of unusual occurrences plagued the small town.,4.5333,1.6554,30,"[6, 3, 3, 3, 5, 5, 6, 5, 1, 5, 6, 5, 2, 5, 6, 5, 5, 6, 5, 6, 3, 7, 2, 1, 6, 3, 7, 5, 5, 4]",test
A solid education lays the foundation for future success.,1.5667,1.2229,30,"[1, 6, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1]",test
A tree provides a home for birds.,6.3333,0.6609,30,"[6, 7, 7, 6, 6, 6, 5, 6, 6, 6, 7, 7, 6, 7, 5, 6, 7, 6, 6, 6, 5, 7, 6, 7, 7, 7, 7, 6, 7, 7]",test
A wildlife preserve was recently created in the Amazon.,6.1333,1.3322,30,"[7, 5, 7, 5, 6, 7, 7, 6, 7, 6, 7, 7, 2, 7, 5, 7, 7, 7, 5, 7, 7, 7, 7, 4, 6, 7, 7, 3, 5, 7]",test
An intense heat wave swept across the city.,4.7333,1.5298,30,"[6, 5, 7, 5, 6, 3, 6, 5, 2, 3, 5, 6, 2, 3, 5, 4, 6, 3, 2, 6, 4, 7, 5, 5, 5, 6, 7, 6, 4, 3]",test
Consuming alcohol is dangerous for your health.,1.2333,0.7739,30,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1]",test
David meticulously planned each step of his journey.,1.931,1.2798,29,"[1, 1, 3, 3, 3, 4, 5, 1, 2, 1, 1, 1, 1, 5, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 2]",test
Excellent customer service can make or break a business.,1.6667,1.4464,30,"[1, 5, 1, 1, 5, 1, 6, 3, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Jenny's dress was bright and cheerful.,1.6667,1.3476,30,"[1, 1, 3, 2, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 6, 2]",test
Jeremy stopped at a diner for lunch.,4.5333,1.8333,30,"[6, 5, 4, 6, 6, 4, 4, 6, 1, 3, 5, 4, 4, 3, 4, 6, 4, 3, 4, 7, 1, 7, 1, 7, 6, 2, 7, 7, 5, 4]",test
John forgot his umbrella and got soaked.,3.6,1.734,30,"[3, 5, 6, 4, 2, 4, 2, 6, 1, 3, 3, 4, 5, 5, 5, 1, 6, 5, 2, 2, 1, 1, 5, 4, 2, 4, 6, 1, 5, 5]",test
Judy grabbed her shopping list on the way out the door.,3.2,1.8828,30,"[3, 5, 7, 4, 5, 2, 2, 5, 1, 4, 2, 3, 4, 2, 4, 5, 1, 3, 4, 1, 1, 1, 2, 7, 1, 1, 7, 2, 4, 3]",test
Large areas of forest were cleared for agriculture.,6.1,1.4227,30,"[6, 7, 7, 6, 6, 7, 1, 7, 7, 6, 7, 7, 3, 7, 4, 4, 7, 6, 5, 6, 7, 7, 6, 7, 6, 7, 7, 7, 6, 7]",test
Learning a new language opens up many doors.,1.3667,0.9643,30,"[1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 6, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",test
Libraries offer knowledge to eager learners.,4.7,2.0367,30,"[6, 7, 1, 6, 6, 2, 4, 7, 5, 1, 4, 6, 1, 6, 6, 6, 5, 2, 6, 7, 4, 7, 5, 1, 6, 2, 7, 5, 5, 5]",test
Lily kept her thoughts to herself during the meeting.,2.3333,1.7682,30,"[3, 6, 1, 4, 4, 1, 7, 1, 2, 1, 1, 1, 1, 1, 4, 2, 4, 2, 2, 1, 1, 1, 1, 3, 2, 1, 6, 4, 1, 1]",test
Sarah loves reading mystery novels.,1.6,1.0034,30,"[2, 2, 1, 2, 2, 1, 1, 5, 1, 1, 1, 1, 2, 1, 4, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",test
September was unusually humid and hot.,3.4667,2.0634,30,"[2, 5, 7, 5, 2, 6, 5, 1, 1, 1, 6, 3, 1, 3, 5, 2, 6, 5, 2, 1, 1, 7, 4, 1, 5, 5, 2, 1, 5, 4]",test
Sophie planted strawberry seeds in the backyard.,6.0333,1.0334,30,"[7, 7, 7, 5, 6, 6, 6, 7, 7, 3, 6, 6, 5, 7, 4, 7, 7, 6, 5, 6, 5, 7, 6, 7, 7, 6, 7, 6, 5, 5]",test
Strong winds frequently blow through the Sahara Desert.,6.2333,0.8584,30,"[7, 7, 7, 6, 6, 4, 7, 7, 6, 6, 7, 7, 4, 7, 6, 6, 7, 6, 6, 6, 6, 7, 6, 5, 7, 7, 7, 6, 6, 5]",test
Teachers inspire students to reach their full potential.,2.2667,1.9286,30,"[1, 7, 1, 5, 5, 1, 1, 6, 1, 1, 1, 2, 2, 1, 5, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 6, 1, 4, 2]",test
The Antique clock ticked heavily every second.,2.4,1.7538,30,"[3, 2, 4, 2, 2, 1, 4, 6, 1, 2, 1, 1, 6, 5, 5, 1, 4, 1, 2, 1, 1, 1, 1, 3, 1, 1, 2, 1, 6, 1]",test
The actor was praised for his powerful performance.,2.0,1.4142,30,"[1, 3, 1, 2, 2, 4, 1, 2, 1, 1, 1, 1, 2, 1, 5, 1, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 5, 2, 6, 2]",test
The architect revealed plans for a modern skyscraper.,3.9,1.7489,30,"[5, 5, 6, 4, 5, 5, 5, 6, 3, 5, 4, 2, 5, 1, 3, 5, 4, 5, 1, 6, 1, 6, 5, 1, 1, 3, 4, 1, 5, 5]",test
The astronaut strapped into the shuttle.,4.6333,1.8096,30,"[7, 7, 5, 5, 6, 5, 4, 5, 7, 5, 1, 3, 7, 5, 5, 5, 6, 3, 3, 2, 1, 3, 3, 7, 5, 2, 7, 6, 5, 4]",test
The athlete shared his workout routine with the press.,2.3333,1.583,30,"[3, 6, 3, 4, 2, 1, 2, 2, 1, 1, 1, 2, 3, 1, 7, 1, 4, 1, 2, 2, 1, 1, 1, 2, 1, 2, 4, 2, 5, 2]",test
The cat remained calm during the thunderstorm.,4.2333,1.7157,30,"[4, 5, 5, 4, 2, 4, 5, 3, 6, 3, 7, 6, 4, 4, 6, 2, 5, 6, 1, 6, 4, 6, 5, 5, 2, 6, 2, 1, 6, 2]",test
The celebration was joyous and full of laughter.,2.5667,1.8134,30,"[5, 2, 1, 4, 4, 1, 2, 6, 2, 1, 1, 1, 2, 2, 4, 1, 3, 1, 2, 1, 1, 1, 3, 1, 3, 4, 7, 2, 7, 2]",test
The chef accidentally added too much salt to the soup.,2.7667,2.0117,30,"[2, 6, 2, 4, 2, 1, 2, 4, 1, 1, 1, 2, 6, 5, 6, 2, 5, 2, 2, 1, 1, 1, 1, 7, 1, 1, 6, 2, 5, 1]",test
The childhood friends have been missing each other.,1.9333,1.7991,30,"[1, 2, 1, 2, 2, 1, 1, 6, 1, 1, 1, 1, 2, 1, 7, 1, 5, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 7, 1]",test
The city was bustling and vibrant.,5.7333,1.484,30,"[7, 6, 7, 5, 6, 6, 1, 6, 6, 5, 6, 7, 3, 7, 7, 6, 7, 3, 5, 6, 3, 7, 6, 6, 7, 6, 7, 6, 7, 5]",test
The city zoo recently introduced a new animal habitat.,6.1,0.8449,30,"[6, 7, 7, 6, 6, 6, 6, 6, 7, 7, 7, 6, 4, 6, 6, 6, 7, 6, 5, 7, 6, 6, 7, 5, 7, 6, 7, 4, 5, 6]",test
The climber reached the top after weeks of prep.,5.0333,1.6501,30,"[7, 7, 7, 5, 3, 6, 6, 5, 6, 5, 7, 6, 4, 6, 5, 4, 5, 6, 5, 1, 1, 6, 6, 5, 2, 4, 7, 4, 6, 4]",test
The cooking class was practicing dicing onions.,3.9,2.0231,30,"[5, 6, 3, 5, 4, 3, 3, 5, 5, 1, 2, 3, 6, 5, 7, 5, 5, 2, 2, 7, 1, 1, 2, 7, 4, 2, 7, 2, 6, 1]",test
The dancer moved with grace across the stage.,4.0667,1.7798,30,"[6, 6, 3, 4, 6, 2, 2, 7, 6, 5, 1, 5, 4, 5, 5, 3, 4, 3, 2, 2, 1, 6, 2, 4, 4, 2, 7, 5, 6, 4]",test
The daughter angrily left the dinner table.,3.5,1.5256,30,"[5, 6, 2, 3, 4, 2, 2, 5, 1, 4, 3, 4, 3, 3, 5, 4, 4, 3, 3, 6, 1, 4, 1, 4, 5, 1, 6, 2, 5, 4]",test
The dealer shuffled the deck of cards.,3.0,2.1814,30,"[2, 7, 2, 5, 2, 1, 4, 6, 5, 1, 1, 2, 6, 4, 4, 1, 4, 2, 2, 1, 1, 1, 1, 7, 1, 1, 6, 2, 7, 1]",test
The detective arrived at the crime scene at midday.,4.1724,1.8911,29,"[6, 7, 2, 5, 4, 4, 5, 2, 2, 4, 2, 5, 2, 3, 4, 6, 4, 2, 7, 1, 6, 1, 7, 6, 3, 7, 5, 5, 4]",test
The doctor updated the patient's chart.,2.5667,1.8134,30,"[2, 6, 1, 3, 3, 1, 2, 5, 2, 1, 1, 3, 3, 3, 5, 1, 3, 1, 3, 1, 1, 1, 1, 6, 1, 1, 7, 5, 3, 1]",test
