unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike.,5.5862,1.637,29,"[5, 1, 6, 7, 5, 6, 5, 6, 7, 4, 7, 6, 6, 5, 7, 7, 6, 5, 7, 7, 5, 3, 7, 7, 7, 6, 5, 6, 1]",test
A businessman began speaking loudly on the phone.,4.3667,1.5421,30,"[3, 6, 5, 7, 4, 5, 7, 3, 2, 4, 6, 3, 3, 5, 6, 4, 5, 5, 2, 2, 4, 4, 6, 1, 6, 3, 5, 5, 5, 5]",test
A high-speed train now connects Paris and Berlin.,4.9,1.9182,30,"[5, 1, 5, 7, 1, 7, 7, 5, 6, 4, 7, 7, 6, 3, 7, 3, 6, 6, 4, 7, 5, 2, 1, 3, 6, 5, 6, 6, 5, 4]",test
A lighthouse guides ships to safety.,5.5,1.4797,30,"[7, 1, 4, 6, 6, 4, 7, 4, 6, 5, 7, 7, 7, 5, 6, 4, 7, 5, 5, 7, 3, 5, 5, 7, 7, 6, 7, 5, 6, 4]",test
A menacing storm rolled across the horizon.,3.9333,2.0998,30,"[2, 4, 6, 1, 6, 3, 6, 2, 6, 2, 2, 2, 7, 5, 3, 7, 7, 3, 1, 1, 4, 1, 5, 4, 2, 4, 7, 5, 3, 7]",test
A mountain climbing team reached the K2 summit.,5.2,1.7695,30,"[7, 3, 7, 2, 5, 4, 6, 5, 6, 7, 5, 6, 7, 5, 7, 3, 7, 2, 3, 7, 1, 4, 6, 6, 4, 6, 7, 5, 6, 7]",test
A new restaurant opened downtown last week.,3.7333,1.6802,30,"[1, 1, 2, 2, 2, 5, 6, 5, 2, 3, 5, 5, 4, 5, 6, 3, 5, 4, 1, 2, 5, 2, 3, 6, 5, 6, 5, 5, 2, 4]",test
A productive morning routine sets the tone for the day.,1.5333,0.8996,30,"[2, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 2, 1]",test
A rat gnawed through the cables in the walls.,6.2333,1.2229,30,"[5, 1, 7, 7, 6, 5, 6, 7, 7, 7, 7, 7, 7, 6, 6, 5, 7, 6, 7, 7, 6, 6, 7, 6, 6, 7, 7, 5, 7, 7]",test
A series of unusual occurrences plagued the small town.,2.2333,1.6543,30,"[2, 1, 1, 1, 4, 4, 3, 1, 6, 1, 2, 1, 2, 3, 1, 1, 3, 2, 2, 1, 1, 2, 1, 2, 1, 2, 7, 6, 2, 1]",test
A solid education lays the foundation for future success.,1.7,1.4657,30,"[2, 1, 2, 1, 1, 4, 2, 1, 7, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 6, 2, 1]",test
A tree provides a home for birds.,5.2667,1.6174,30,"[7, 1, 3, 6, 6, 5, 7, 4, 6, 4, 7, 4, 7, 6, 7, 5, 6, 5, 6, 6, 2, 3, 5, 7, 3, 6, 7, 6, 6, 5]",test
A wildlife preserve was recently created in the Amazon.,4.2333,1.8696,30,"[2, 1, 3, 1, 6, 4, 6, 5, 6, 3, 7, 5, 6, 5, 6, 3, 3, 2, 2, 2, 3, 2, 7, 4, 5, 6, 7, 6, 4, 5]",test
