is_fallback,domain,subdomain,matched_on,source,task,n_items,n_ratings
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,neal_norming_1,704,12940
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_23_also_nov_16_2012,600,7136
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pascal_1_dec_2012,544,6086
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,paris_judgments_dec_2012_1,488,3818
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,paris_judgments_3_dec_2012,477,7714
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_24_same_diff_verbs_nov_16_2012,472,21363
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,eunice_disfluency_nov_15_2011,468,6655
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_also_2_nov_22_2012_1,448,3559
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,448,3524
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,360,7023
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,mk_alive_corpus_questionnaire,286,1798
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,mk_goals_corpus_questionnaire,286,1196
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,paris_judgments_2_dec_2012_1,256,1267
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,presup_survey_1_acd_july_2012,240,3660
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,presup_survey_2_acd_july_2012,240,3532
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,presup_survey_3_acd_july_2012,240,3591
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_context_polly_1_nov_23_2012,225,28701
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_no_context_polly_1_nov_23_2012,213,21610
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,50_sentences_noisy_channel_may_25_2011,208,3107
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,208,3053
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,184,5247
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,eunice_disfluency_2_nov_17_2011,180,3536
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_31_same_diff_verbs_nov_16_2012_1,176,3342
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_42_also_verbs_nov_29_2012_1,176,4049
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,168,8563
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,erp_norming_error_detection_june_2013_4,162,9545
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,agreement_norming_nov,159,5649
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_expt_44_the_same_nov_29_2012_1,140,2931
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,verb_particle_ratings,136,512
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,acd_project_also_3_nov_24_2012_2,128,3338
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,noisy_rc_norming_oct19,128,1274
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,126,11065
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,quantitative_syntax_survey,121,3637
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,animacy_passive_dative_kyle,120,4649
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,copy_cat_polly_june_2014,100,4783
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,chomsky_items,94,2344
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,copy_cat_polly_june_2014_v2_1,90,1194
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,reasoning_and_language_tasks_survey_code_talkative_pigeon,72,4289
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,copy_cat_polly_dec_2013_1,60,1597
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,60,6565
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,60,4594
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,imperative_control_iad_gs_may_16_2011_purple_puppy,49,2873
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pronouns_following_verbs_ve,45,3514
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pronouns_following_verbs,44,3478
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pronouns_following_verbs_an,44,874
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pronouns_following_verbs_an_2,44,2637
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pronouns_following_verbs_ce,44,1748
1,Syntax,Acceptability / naturalness,FALLBACK-default,mturk,pronouns_following_verbs_ce_2,44,1756
