task,level,sublevel,source,language,scale,n_items,n_ratings,ratings_per_item_min,ratings_per_item_median,ratings_per_item_max,has_individual_ratings,human_r_sb,human_rho_sb,reliability_items_used,level_decided_by,level_blind_check_agrees,level_rationale,merged_from,question_wording,path
edwards2024_spelling_to_pronunciation_transparency,subword,,published,english,1-6,23282,617233,17,27,30,True,0.851,0.826,23282,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/subword/edwards2024_spelling_to_pronunciation_transparency
gatti2024_pseudoword_valence_intuitive,subword,,published,english,1-9,1500,45000,,,,False,,,0,andrea_policy_Q4,True,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",,,data/subword/gatti2024_pseudoword_valence_intuitive
gatti2024_pseudoword_valence_semantic_task,subword,,published,english,1-9,500,15000,,,,False,,,0,andrea_policy_Q4,True,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",,,data/subword/gatti2024_pseudoword_valence_semantic_task
winter2017_iconicity,subword,,published,english,1-10,3002,0,,,,False,,,0,andrea_policy_Q4,True,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",,,data/subword/winter2017_iconicity
winter2024_iconicity,subword,,published,english,1-7,14776,158327,,,,False,,,0,andrea_policy_Q4,True,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",,,data/subword/winter2024_iconicity
word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,subword,,mturk,english,1-7,158,7958,47,50,100,True,0.965,0.937,158,andrea_policy_Q4,True,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",,"reconstructed: 'How natural does the made-up word sound as a possible English word?' -- raw Title recovered verbatim in questionnaire_wording.csv states 'ratings of 160 non-words: survey code = ...', hence 'made-up word' phrasing; no literal on-page question text recovered (dashboard_instructions empty for this folder).",data/subword/word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear
word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,subword,,mturk,english,1-7,45,2239,48,50,50,True,0.962,0.948,45,andrea_policy_Q4,True,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",,"reconstructed: 'How natural does the made-up word sound as a possible English word?' -- raw Title recovered verbatim in questionnaire_wording.csv states 'ratings of 45 non-words: survey code = ...', hence 'made-up word' phrasing; no literal on-page question text recovered (dashboard_instructions empty for this folder).",data/subword/word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger
brysbaert2014_concreteness,lexical_semantics,perceptual_motor,published,english,1-5,39954,1286344,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/brysbaert2014_concreteness
copy_of_verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,conceptual,mturk,english,1-5,62,2470,39,40,40,True,0.863,0.83,62,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010, copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010, copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010 (identical items + instruction; ratings pooled)",copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010;copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010;copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010,reconstructed from own-row dashboard_scale_labels poles (self-caused vs. externally-caused event); raw HIT Title/Description are generic ('Brief English-language survey: Apatosaurus-convention code name') and do not name the dimension,data/lexical_semantics/copy_of_verb_causality_study_semantics_ratings_mk_april_2010
corenblum2025_cognition,lexical_semantics,conceptual,published,english,1-7,8367,164877,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/corenblum2025_cognition
diveica2023_socialness,lexical_semantics,conceptual,published,english,1-7,8948,233407,11,25,605,True,0.885,0.883,8948,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/diveica2023_socialness
giurgea2025_motivation,lexical_semantics,conceptual,published,english,1-7,8765,255943,16,25,649,True,0.862,0.856,8765,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/giurgea2025_motivation
lancaster2020_auditory,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,4,17,16043,True,0.849,0.831,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_auditory
lancaster2020_foot_leg,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,7,19,16758,True,0.833,0.729,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_foot_leg
lancaster2020_gustatory,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,4,17,16043,True,0.922,0.545,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_gustatory
lancaster2020_hand_arm,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,7,19,16758,True,0.821,0.783,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_hand_arm
lancaster2020_haptic,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,4,17,16043,True,0.864,0.808,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_haptic
lancaster2020_head,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,7,19,16758,True,0.599,0.57,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_head
lancaster2020_interoceptive,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,4,17,16043,True,0.843,0.778,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_interoceptive
lancaster2020_mouth,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,7,19,16758,True,0.831,0.777,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_mouth
lancaster2020_olfactory,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,4,17,16043,True,0.878,0.622,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_olfactory
lancaster2020_torso,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,7,19,16758,True,0.781,0.675,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_torso
lancaster2020_visual,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,4,17,16043,True,0.772,0.767,39954,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/lancaster2020_visual
massive_mem_arousal_mar_2013,lexical_semantics,affective,mturk,english,1-5,2020,65008,28,30,243,True,0.898,0.883,2020,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_arousal_mar_2013
massive_mem_arousal_mar_2013_end_2,lexical_semantics,affective,mturk,english,1-5,242,7026,27,29,30,True,0.863,0.85,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_arousal_mar_2013_end_2
massive_mem_arousal_mar_2014,lexical_semantics,affective,mturk,english,1-5,2015,63813,26,30,267,True,0.878,0.863,2015,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_arousal_mar_2014
massive_mem_arousal_mar_2014_end_1,lexical_semantics,affective,mturk,english,1-5,242,7149,27,30,30,True,0.904,0.886,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_arousal_mar_2014_end_1
massive_mem_concreteness_mar_2013,lexical_semantics,perceptual_motor,mturk,english,1-5,2020,71679,27,30,268,True,0.96,0.956,2020,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_concreteness_mar_2013
massive_mem_concreteness_mar_2013_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7238,28,30,30,True,0.964,0.959,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_concreteness_mar_2013_end_1
massive_mem_concreteness_mar_2014,lexical_semantics,perceptual_motor,mturk,english,1-5,2019,64058,27,30,268,True,0.954,0.952,2019,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_concreteness_mar_2014
massive_mem_concreteness_mar_2014_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7229,28,30,30,True,0.958,0.955,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_concreteness_mar_2014_end_1
