word,mean,std,n,individual_ratings
A,1.0714285714285714,2.1290765681316004,14,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0]"
A CAPPELLA,2.7142857142857144,1.9011274850166453,21,"[5, 0, 5, 5, 4, 3, 5, 2, 4, 2, 4, 4, 0, 2, 2, 3, 0, 0, 2, 5, 0]"
AARDVARK,2.235294117647059,1.921243469888248,17,"[0, 3, 5, 2, 3, 0, 4, 5, 1, 3, 1, 0, 0, 0, 5, 2, 4]"
ABACK,3.272727272727273,1.9021518914592015,11,"[4, 4, 2, 3, 0, 3, 5, 5, 0, 5, 5]"
ABACUS,2.6315789473684212,2.191157135087138,19,"[4, 0, 0, 5, 4, 1, 5, 1, 3, 5, 5, 5, 0, 3, 5, 0, 0, 0, 4]"
ABANDON,2.45,2.0641042405337657,20,"[4, 5, 3, 0, 5, 5, 0, 3, 3, 3, 4, 0, 0, 5, 0, 4, 0, 0, 4, 1]"
ABANDONED,2.6315789473684212,2.1656542843981734,19,"[5, 5, 0, 0, 1, 0, 2, 2, 0, 5, 0, 4, 3, 5, 4, 4, 0, 5, 5]"
ABANDONEE,1.8235294117647058,1.9116515803633993,17,"[3, 3, 0, 0, 2, 5, 3, 1, 0, 0, 0, 4, 4, 1, 0, 5, 0]"
ABANDONER,1.7222222222222223,2.023554111416363,18,"[0, 3, 5, 0, 3, 0, 5, 0, 0, 4, 2, 5, 1, 0, 0, 0, 3, 0]"
ABANDONMENT,2.142857142857143,1.9566735620873064,21,"[0, 0, 3, 3, 5, 4, 1, 0, 0, 3, 0, 4, 0, 0, 5, 3, 0, 5, 3, 4, 2]"
ABASEMENT,2.142857142857143,2.128044038212421,21,"[3, 3, 0, 5, 0, 0, 3, 0, 4, 0, 0, 5, 5, 0, 1, 0, 5, 5, 0, 3, 3]"
ABATEMENT,1.5,2.2038926600773587,8,"[0, 5, 0, 1, 0, 1, 5, 0]"
ABBREVIATE,2.0,2.0816659994661326,19,"[4, 0, 0, 2, 3, 5, 3, 4, 0, 4, 0, 0, 0, 0, 0, 3, 0, 5, 5]"
ABBREVIATED,2.2,2.0157276340658834,20,"[0, 4, 2, 3, 0, 5, 0, 0, 4, 0, 3, 0, 5, 2, 0, 3, 4, 4, 0, 5]"
ABBREVIATION,1.3333333333333333,1.970368732287556,18,"[2, 0, 0, 0, 5, 5, 0, 1, 0, 3, 0, 5, 0, 0, 0, 0, 3, 0]"
ABDICATE,2.466666666666667,2.065591117977289,15,"[4, 5, 3, 3, 2, 0, 5, 0, 2, 0, 0, 3, 5, 0, 5]"
ABDOMEN,0.9473684210526315,1.393384536958932,19,"[2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 5, 0, 3, 0]"
ABDOMINAL,0.8571428571428571,1.3522468075656267,21,"[0, 0, 1, 0, 0, 0, 0, 0, 3, 2, 0, 0, 2, 0, 4, 0, 3, 0, 0, 0, 3]"
ABDOMINALLY,0.631578947368421,1.3420765964144055,19,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0]"
ABDUCT,2.35,1.8431951662948316,20,"[3, 0, 0, 3, 3, 5, 4, 0, 3, 2, 3, 4, 1, 0, 5, 1, 0, 4, 5, 1]"
ABDUCTEE,2.3529411764705883,1.9345922202943777,17,"[4, 0, 0, 0, 5, 1, 2, 0, 5, 3, 5, 1, 2, 3, 1, 3, 5]"
ABDUCTION,1.9523809523809523,2.246690688016276,21,"[0, 0, 0, 5, 2, 0, 4, 0, 0, 5, 0, 0, 4, 5, 0, 0, 2, 5, 4, 5, 0]"
ABDUCTOR,2.388888888888889,2.1182370274771336,18,"[0, 3, 2, 0, 5, 5, 5, 0, 1, 1, 4, 5, 4, 4, 0, 4, 0, 0]"
ABHOR,1.8333333333333333,1.3826657968874303,18,"[3, 0, 1, 2, 0, 4, 3, 2, 2, 2, 0, 0, 2, 2, 0, 4, 3, 3]"
ABHORRENCE,3.5294117647058822,1.6627404735414786,17,"[0, 3, 3, 5, 5, 5, 5, 4, 5, 3, 0, 5, 4, 3, 5, 2, 3]"
ABHORRENTLY,1.7391304347826086,1.93572611004825,23,"[2, 2, 5, 0, 0, 0, 1, 5, 0, 0, 0, 2, 5, 3, 4, 1, 3, 0, 0, 2, 0, 5, 0]"
ABHORRING,3.0625,1.8062391868188443,16,"[5, 4, 5, 3, 0, 2, 5, 3, 0, 3, 4, 4, 2, 5, 0, 4]"
