word,mean,std,n,individual_ratings
A,0.0,0.0,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
A CAPPELLA,0.7222222222222222,1.3636264606493258,18,"[0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 1, 5, 0, 2, 0, 1, 0, 0]"
AARDVARK,0.0625,0.24999999999999997,16,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABACK,1.3529411764705883,1.8007351439963426,17,"[4, 4, 3, 4, 0, 0, 0, 0, 0, 4, 3, 0, 0, 1, 0, 0, 0]"
ABACUS,0.2777777777777778,0.6691131580686883,18,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
ABANDON,2.1176470588235294,1.866894243830394,17,"[4, 2, 1, 5, 3, 0, 5, 4, 0, 1, 4, 1, 0, 0, 3, 3, 0]"
ABANDONED,1.6666666666666667,2.1693045781865616,18,"[0, 4, 5, 0, 0, 0, 5, 2, 3, 5, 0, 0, 0, 0, 5, 0, 1, 0]"
ABANDONEE,0.5625,1.4127396551853895,16,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 5]"
ABANDONER,1.6428571428571428,1.9848325973644325,14,"[0, 0, 0, 0, 3, 1, 2, 5, 0, 5, 3, 0, 0, 4]"
ABANDONMENT,2.933333333333333,1.791514389985135,15,"[0, 3, 3, 4, 5, 3, 5, 5, 5, 1, 0, 3, 1, 2, 4]"
ABASEMENT,1.25,1.5447859516333116,12,"[1, 0, 0, 2, 5, 1, 0, 1, 2, 3, 0, 0]"
ABATEMENT,0.8,1.2649110640673518,15,"[0, 0, 0, 3, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0, 3]"
ABBREVIATE,0.45,1.145931016569864,20,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
ABBREVIATED,0.4444444444444444,0.9217771979249535,18,"[0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
ABBREVIATION,0.47368421052631576,1.4286131990551603,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0]"
ABDICATE,0.4166666666666667,0.9962049198956219,12,"[3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
ABDOMEN,2.3529411764705883,2.234423204951007,17,"[5, 0, 0, 2, 0, 5, 0, 5, 4, 0, 3, 0, 0, 5, 2, 4, 5]"
ABDOMINAL,2.7333333333333334,2.051712409068047,15,"[0, 5, 4, 4, 0, 1, 3, 2, 3, 5, 0, 0, 4, 5, 5]"
ABDOMINALLY,2.0588235294117645,2.2768011615887245,17,"[5, 0, 0, 5, 0, 5, 0, 5, 0, 4, 2, 0, 3, 0, 5, 1, 0]"
ABDUCT,0.5789473684210527,1.0173926082384548,19,"[4, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
ABDUCTEE,0.55,1.538112308540638,20,"[0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
ABDUCTION,2.176470588235294,1.845104811306361,17,"[2, 5, 2, 5, 1, 1, 4, 4, 0, 4, 0, 0, 3, 3, 0, 3, 0]"
ABDUCTOR,0.9411764705882353,1.7489492643904123,17,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 2, 5]"
