word,mean,std,n,individual_ratings
A,2.2142857142857144,2.2592909516916153,14,"[0, 5, 5, 1, 1, 5, 5, 0, 0, 2, 0, 5, 0, 2]"
A CAPPELLA,4.333333333333333,1.6087993330796877,18,"[5, 5, 5, 4, 5, 5, 5, 5, 0, 5, 5, 5, 0, 5, 4, 5, 5, 5]"
AARDVARK,1.625,1.7841898254763513,16,"[0, 4, 2, 0, 4, 3, 0, 5, 0, 1, 0, 0, 3, 3, 1, 0]"
ABACK,1.2941176470588236,1.8962036376122997,17,"[0, 4, 0, 3, 1, 1, 3, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0]"
ABACUS,1.5555555555555556,1.6169041669088866,18,"[2, 0, 5, 0, 3, 5, 1, 2, 0, 0, 3, 2, 2, 1, 1, 0, 1, 0]"
ABANDON,0.9411764705882353,1.0880365478290537,17,"[0, 0, 2, 0, 1, 0, 0, 3, 2, 1, 1, 3, 0, 0, 2, 1, 0]"
ABANDONED,1.4444444444444444,1.8221584557629713,18,"[1, 0, 0, 0, 0, 0, 0, 0, 5, 5, 2, 0, 1, 4, 0, 2, 3, 3]"
ABANDONEE,1.9375,1.8427786989579986,16,"[1, 3, 3, 0, 5, 5, 0, 3, 2, 0, 2, 0, 3, 0, 4, 0]"
ABANDONER,0.5714285714285714,0.85163062725264,14,"[0, 0, 0, 0, 1, 2, 2, 0, 0, 2, 0, 0, 0, 1]"
ABANDONMENT,2.1333333333333333,1.7265434778633235,15,"[3, 1, 2, 4, 5, 2, 0, 3, 4, 0, 0, 4, 1, 0, 3]"
ABASEMENT,2.8333333333333335,1.8989630344113089,12,"[4, 5, 3, 5, 1, 0, 3, 4, 1, 5, 3, 0]"
ABATEMENT,1.0666666666666667,1.579632265825846,15,"[0, 0, 0, 2, 1, 2, 0, 1, 0, 5, 0, 4, 0, 0, 1]"
ABBREVIATE,2.4,1.8750438591361567,20,"[0, 5, 3, 1, 5, 0, 0, 5, 4, 2, 3, 0, 0, 3, 2, 2, 1, 5, 3, 4]"
ABBREVIATED,1.8888888888888888,2.0832352918107335,18,"[1, 4, 1, 0, 4, 3, 0, 0, 5, 0, 5, 0, 4, 0, 0, 0, 2, 5]"
ABBREVIATION,2.736842105263158,1.7901615465016278,19,"[0, 5, 0, 4, 2, 5, 0, 1, 4, 3, 2, 0, 4, 5, 4, 3, 3, 3, 4]"
ABDICATE,2.3333333333333335,2.1033883198882757,12,"[2, 4, 5, 3, 0, 1, 0, 3, 5, 0, 5, 0]"
ABDOMEN,0.5882352941176471,1.3719886811400708,17,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 1]"
ABDOMINAL,0.9333333333333333,1.667618775665584,15,"[0, 3, 0, 4, 0, 0, 1, 0, 0, 0, 5, 0, 0, 1, 0]"
ABDOMINALLY,0.4117647058823529,1.0641207361838554,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 4]"
ABDUCT,1.736842105263158,1.7901615465016276,19,"[1, 0, 4, 4, 2, 0, 0, 1, 1, 5, 2, 1, 4, 0, 0, 5, 0, 2, 1]"
ABDUCTEE,1.25,1.6181535936466536,20,"[2, 0, 1, 0, 2, 0, 2, 0, 5, 0, 0, 0, 0, 4, 3, 0, 3, 0, 3, 0]"
ABDUCTION,2.0588235294117645,1.8530578861470477,17,"[1, 3, 4, 5, 1, 3, 2, 5, 0, 1, 0, 1, 5, 0, 0, 3, 1]"
ABDUCTOR,2.3529411764705883,1.9345922202943775,17,"[0, 2, 2, 3, 0, 5, 5, 0, 3, 5, 1, 4, 1, 5, 3, 1, 0]"
ABHOR,1.6956521739130435,1.7171536334266988,23,"[0, 2, 0, 5, 0, 1, 2, 5, 1, 0, 3, 3, 1, 1, 0, 1, 5, 4, 0, 1, 2, 0, 2]"
ABHORRENCE,1.3125,1.6620770138594663,16,"[3, 0, 0, 0, 1, 0, 0, 3, 4, 0, 3, 3, 4, 0, 0, 0]"
ABHORRENTLY,2.2666666666666666,1.8309508328682536,15,"[5, 5, 5, 4, 0, 3, 2, 1, 3, 0, 2, 1, 2, 1, 0]"
ABHORRING,1.0,1.4142135623730951,15,"[0, 2, 2, 0, 1, 0, 1, 2, 0, 5, 0, 0, 0, 0, 2]"
ABIDE,1.1875,1.5152007567755943,16,"[0, 0, 2, 1, 0, 3, 4, 3, 0, 1, 4, 0, 0, 1, 0, 0]"
ABIDING,0.5333333333333333,1.1254628677422753,15,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
ABIDINGLY,1.5833333333333333,1.8319554050414562,12,"[0, 0, 3, 4, 2, 0, 5, 0, 3, 0, 2, 0]"
ABILITY,1.2222222222222223,1.7675358572136373,18,"[0, 5, 0, 3, 0, 0, 0, 4, 0, 0, 3, 0, 0, 2, 0, 0, 4, 1]"
ABJECT,1.7142857142857142,1.7043362064926935,7,"[3, 4, 3, 0, 0, 2, 0]"
ABLAZE,1.4705882352941178,1.585782419612773,17,"[3, 3, 3, 0, 0, 0, 4, 0, 2, 0, 1, 0, 0, 4, 2, 0, 3]"
ABLE,1.1333333333333333,1.8847761013926703,15,"[0, 0, 0, 0, 3, 0, 5, 0, 1, 0, 0, 0, 5, 0, 3]"
ABLY,1.1764705882352942,1.629236558853834,17,"[0, 3, 1, 4, 0, 1, 1, 0, 0, 3, 5, 0, 0, 2, 0, 0, 0]"
ABNORMAL,1.894736842105263,1.9970738828514207,19,"[3, 5, 0, 5, 0, 0, 0, 0, 4, 0, 4, 2, 3, 3, 1, 1, 0, 5, 0]"
ABNORMALITY,1.4210526315789473,1.804801911989365,19,"[2, 0, 0, 1, 0, 5, 3, 0, 0, 0, 5, 0, 2, 0, 0, 0, 2, 4, 3]"
ABNORMALLY,1.0555555555555556,1.6617574758359692,18,"[1, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 5, 0, 0, 2, 2, 0, 0]"
ABOARD,1.1904761904761905,1.2891488517253398,21,"[1, 0, 0, 2, 2, 1, 3, 0, 0, 0, 3, 4, 0, 2, 0, 2, 0, 3, 1, 1, 0]"
ABODE,0.8666666666666667,1.7674302033770737,15,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0]"
ABOLISH,2.12,2.0273134932713295,25,"[0, 0, 4, 5, 3, 2, 0, 5, 4, 5, 2, 0, 3, 0, 0, 5, 3, 0, 1, 5, 0, 0, 0, 3, 3]"
ABOLISHABLE,1.6666666666666667,1.6761634196950517,15,"[1, 3, 3, 3, 0, 0, 0, 1, 3, 0, 3, 3, 5, 0, 0]"
ABOLISHER,0.6428571428571429,1.0818177620697813,14,"[0, 0, 0, 2, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]"
ABOLISHMENT,2.2941176470588234,1.8629514849544844,17,"[3, 0, 3, 5, 4, 1, 0, 3, 5, 0, 5, 3, 0, 2, 0, 2, 3]"
ABOLITION,0.7272727272727273,1.2720777563426766,11,"[0, 0, 1, 0, 0, 0, 1, 0, 4, 2, 0]"
ABOLITIONISM,2.0,1.9364916731037085,17,"[3, 0, 1, 5, 3, 0, 0, 0, 0, 5, 2, 4, 0, 5, 2, 3, 1]"
ABOLITIONIST,2.0,1.7580981459830651,12,"[0, 0, 4, 4, 0, 4, 3, 0, 1, 2, 2, 4]"
ABOMINABLE,1.8823529411764706,1.996320144076861,17,"[5, 1, 4, 0, 5, 0, 1, 0, 0, 2, 2, 4, 0, 0, 4, 0, 4]"
ABOMINABLENESS,2.727272727272727,1.9540168418367887,11,"[4, 5, 5, 4, 2, 1, 0, 4, 0, 1, 4]"
ABOMINABLY,1.5833333333333333,1.6764862244009227,12,"[1, 0, 0, 2, 2, 0, 0, 3, 1, 5, 4, 1]"
ABOMINATE,1.173913043478261,1.4350221383481885,23,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 4, 2, 0, 3, 2, 3, 1, 4, 1]"
ABOMINATION,1.75,1.8027756377319946,20,"[0, 5, 3, 2, 0, 4, 2, 0, 0, 1, 3, 0, 0, 2, 1, 0, 0, 3, 5, 4]"
ABORIGINAL,2.588235294117647,1.7341721198244626,17,"[4, 4, 2, 4, 5, 0, 3, 4, 2, 3, 0, 2, 3, 0, 3, 0, 5]"
ABORT,2.0625,1.8427786989579984,16,"[0, 0, 3, 3, 4, 5, 3, 2, 5, 2, 1, 1, 4, 0, 0, 0]"
ABORTED,1.631578947368421,1.7065405655167962,19,"[2, 4, 0, 0, 3, 3, 4, 0, 0, 1, 2, 5, 0, 3, 0, 1, 0, 3, 0]"
ABORTION,0.8235294117647058,1.2862393885688164,17,"[0, 0, 2, 2, 0, 0, 2, 0, 4, 0, 3, 1, 0, 0, 0, 0, 0]"
ABORTIONIST,1.6666666666666667,1.9097274212644617,18,"[2, 0, 0, 2, 4, 4, 3, 2, 0, 0, 5, 0, 3, 0, 0, 5, 0, 0]"
ABORTIVE,1.5714285714285714,1.7851647506079618,14,"[3, 2, 2, 5, 1, 0, 0, 5, 0, 2, 2, 0, 0, 0]"
ABORTIVELY,1.2666666666666666,1.4375905768565216,15,"[0, 0, 2, 2, 5, 1, 0, 3, 1, 0, 2, 0, 2, 0, 1]"
ABOUND,0.3125,0.704154339142587,16,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]"
ABOUNDING,0.5625,0.963932916061417,16,"[1, 0, 0, 1, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
ABOUT,1.4375,1.9653244007033546,16,"[4, 0, 2, 0, 0, 2, 1, 0, 5, 0, 0, 0, 5, 0, 0, 4]"
ABOVE,0.29411764705882354,0.5878675320972554,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0]"
ABOVE ALL,0.55,1.2763022245616642,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1, 5, 1, 0, 0]"
ABOVEBOARD,2.176470588235294,2.1282414723677108,17,"[5, 0, 0, 0, 4, 0, 5, 0, 4, 0, 4, 3, 0, 5, 2, 4, 1]"
ABOVEGROUND,1.15,1.7851728502481654,20,"[2, 0, 0, 0, 0, 5, 0, 0, 0, 4, 0, 2, 0, 3, 5, 0, 0, 0, 0, 2]"
ABOVEMENTIONED,1.3333333333333333,1.8387366263150307,15,"[1, 0, 0, 5, 2, 5, 0, 0, 1, 0, 1, 4, 0, 0, 1]"
ABRACADABRA,1.8571428571428572,1.8752289237539816,14,"[3, 4, 0, 3, 0, 0, 0, 2, 2, 1, 0, 5, 1, 5]"
ABRASION,0.7058823529411765,1.403776419268438,17,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 3, 0, 0]"
ABRASIVE,1.3333333333333333,1.7182493859684491,15,"[3, 3, 0, 0, 5, 0, 0, 4, 2, 0, 2, 1, 0, 0, 0]"
ABRASIVELY,1.8823529411764706,1.6538724611187705,17,"[2, 0, 0, 5, 3, 2, 2, 0, 2, 0, 0, 2, 2, 5, 1, 2, 4]"
ABRASIVENESS,2.05,1.7614288458371994,20,"[5, 3, 0, 0, 3, 5, 0, 3, 2, 3, 0, 1, 5, 2, 0, 1, 3, 2, 3, 0]"
ABREAST,0.3333333333333333,1.2909944487358056,15,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABRIDGE,1.4166666666666667,1.6764862244009227,12,"[2, 4, 5, 0, 0, 2, 1, 1, 0, 0, 0, 2]"
ABRIDGED,1.3333333333333333,1.8387366263150304,15,"[5, 3, 0, 2, 0, 3, 0, 0, 0, 0, 0, 5, 0, 1, 1]"
ABRIDGMENT,0.8461538461538461,1.1435437497937313,13,"[1, 0, 3, 0, 0, 0, 3, 2, 0, 0, 1, 1, 0]"
ABROAD,1.6842105263157894,1.6684201302412267,19,"[3, 2, 1, 2, 0, 1, 0, 4, 2, 0, 4, 0, 2, 5, 0, 0, 2, 0, 4]"
ABRUPT,2.3684210526315788,2.005839428485116,19,"[4, 0, 2, 5, 5, 4, 0, 0, 3, 3, 1, 0, 4, 0, 4, 0, 4, 1, 5]"
ABRUPTLY,3.0588235294117645,1.853057886147048,17,"[3, 5, 5, 4, 4, 5, 1, 0, 3, 3, 3, 0, 0, 2, 5, 5, 4]"
ABRUPTNESS,3.2777777777777777,1.7758363582385148,18,"[3, 5, 5, 4, 5, 4, 0, 5, 3, 4, 3, 0, 3, 2, 0, 5, 5, 3]"
ABSCESS,0.15,0.36634754853252327,20,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABSCESSED,0.29411764705882354,0.5878675320972554,17,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0]"
ABSENCE,1.736842105263158,2.1302609454962163,19,"[0, 2, 0, 0, 1, 0, 0, 0, 4, 5, 5, 4, 1, 1, 0, 0, 5, 5, 0]"
ABSENT,1.4864864864864864,1.6435331457567874,37,"[1, 2, 3, 0, 4, 2, 0, 1, 5, 2, 0, 0, 2, 4, 4, 0, 0, 0, 0, 3, 3, 2, 0, 2, 0, 3, 0, 3, 0, 0, 3, 0, 0, 1, 0, 5, 0]"
ABSENTEE,0.7666666666666667,1.4064710873459965,30,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 5, 3, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
ABSENTEEISM,0.8666666666666667,1.6417180315870614,15,"[0, 0, 2, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 5, 0]"
ABSENTLY,0.8095238095238095,1.3273676061682242,21,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 1, 5, 1, 3, 0, 0, 0, 0, 0, 0, 2]"
ABSENTMINDED,1.8235294117647058,1.9116515803633993,17,"[0, 3, 4, 0, 0, 1, 5, 3, 0, 5, 0, 4, 1, 0, 2, 3, 0]"
ABSENTMINDEDLY,1.4375,1.631716887208072,16,"[1, 2, 0, 0, 3, 0, 2, 0, 0, 0, 0, 5, 4, 2, 3, 1]"
ABSENTMINDEDNESS,1.1176470588235294,1.4950900031928043,17,"[0, 0, 1, 0, 0, 4, 3, 0, 3, 0, 4, 2, 0, 0, 1, 0, 1]"
ABSENTNESS,0.6818181818181818,1.2492421945347751,22,"[0, 0, 0, 0, 1, 2, 4, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 1]"
ABSINTHE,0.07692307692307693,0.2773500981126145,13,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
ABSOLUTE,1.5625,1.3647344063956182,16,"[3, 2, 0, 3, 1, 1, 0, 0, 2, 0, 2, 1, 2, 2, 1, 5]"
ABSOLUTELY,1.2222222222222223,1.8328876463610655,18,"[0, 4, 0, 5, 0, 0, 5, 0, 0, 3, 0, 0, 0, 2, 2, 0, 1, 0]"
ABSOLUTENESS,2.375,1.9958289839896939,16,"[1, 5, 0, 0, 2, 3, 4, 4, 5, 0, 5, 3, 4, 2, 0, 0]"
