unit,mean,std,n,individual_ratings,item_type
A ball flying in air the can hurt.,1.8333,1.169,6,"[1, 4, 2, 1, 1, 2]",test
A ball flying in the air can hurt.,7.0,0.0,4,"[7, 7, 7, 7]",test
A ball in flying can the air hurt.,1.4286,0.7868,7,"[1, 3, 1, 1, 1, 2, 1]",test
A concrete a sound heavier rasp like was and over there box pulled a.,1.0,0.0,7,"[1, 1, 1, 1, 1, 1, 1]",test
A law only studied only has candidate candidate the with am and technology entrepreneurship economics I in background who the and both.,1.0,0.0,4,"[1, 1, 1, 1]",test
A local them can you center garden at or online purchase.,1.0,0.0,6,"[1, 1, 1, 1, 1, 1]",test
A should women to hands with offering their avoid monk anything.,1.0,0.0,7,"[1, 1, 1, 1, 1, 1, 1]",test
A use now massive we say paperweight let’s.,1.1111,0.3333,9,"[1, 1, 1, 2, 1, 1, 1, 1, 1]",test
Almost everyone a is bit ethnocentric little.,1.4,0.5477,5,"[2, 1, 1, 2, 1]",test
Almost everyone is a little bit ethnocentric.,6.2857,1.496,7,"[7, 6, 7, 7, 7, 3, 7]",test
Almost everyone is a little ethnocentric bit.,2.8889,1.6915,9,"[2, 2, 3, 1, 3, 3, 6, 1, 5]",test
And by or but like everything then you that narrator read first someone something become thrilled bit tells will even be you you unreliable a trust more something and him secret of I.,1.0,0.0,2,"[1, 1]",test
And didn’t and size shoes go had get then she scan they to then and have she said the the.,1.0,0.0,7,"[1, 1, 1, 1, 1, 1, 1]",test
And in there tourism tourists been major past influx player rapid in has other the Coron a decade divers today of the in scuba making industry coming.,1.1667,0.4082,6,"[1, 1, 1, 2, 1, 1]",test
And then she had scan to and go get the shoes and then she said they didn’t size have the.,2.125,1.4577,8,"[2, 3, 1, 3, 1, 1, 5, 1]",test
And then she had to scan and go get the shoes and then she said they didn’t have the size.,3.8,1.7889,5,"[6, 2, 5, 4, 2]",test
And then she had to scan and go get the shoes and then she said they didn’t the have size.,3.8,2.7749,5,"[4, 1, 6, 7, 1]",test
"And there a was heavier sound, rasp, a like a pulled box over concrete.",3.4,2.0736,5,"[3, 3, 7, 2, 2]",test
"And there was a heavier sound, a rasp, a like box pulled over concrete.",4.0,2.582,4,"[7, 5, 3, 1]",test
"And there was a heavier sound, a rasp, like a box pulled over concrete.",6.4444,0.7265,9,"[7, 7, 6, 5, 6, 6, 7, 7, 7]",test
"And you'd it put into the hot coals, you know?",2.25,2.5,4,"[1, 1, 6, 1]",test
"And you'd put into it coals, the hot you know?",1.6667,0.866,9,"[1, 1, 3, 2, 2, 3, 1, 1, 1]",test
"And you'd put it into the hot coals, you know?",6.5714,0.5345,7,"[6, 7, 6, 7, 6, 7, 7]",test
Another a find coin quarter small or.,1.0,0.0,3,"[1, 1, 1]",test
At Mountain at was guest mohamed VIP Fair a California to located able the meet headquarters this finalists held Science was in the at View Google's event weekend and Google.,1.0,0.0,7,"[1, 1, 1, 1, 1, 1, 1]",test
Be efficient used this can and continuous is any discipline system to for and collection adapted accurate and it academic.,1.3333,0.5164,6,"[1, 1, 1, 2, 2, 1]",test
"Besides, Steven had some really good stuff: sweets that stained your teeth bright red — well, technically, not your teeth, just the plaque, but the result was often the same.",6.6,0.9661,10,"[6, 7, 7, 7, 4, 7, 7, 7, 7, 7]",test
"Besides, Steven had some really good stuff: that sweets stained your teeth bright red well, — technically, not your teeth, just the plaque, but the result was the often same.",3.3333,1.9664,6,"[5, 1, 5, 5, 3, 1]",test
"Besides, Steven had some really good sweets stuff: that stained your teeth bright red — well, technically, not your teeth, just the plaque, but the result was often the same.",3.3333,1.8619,6,"[5, 2, 5, 2, 1, 5]",test
Bit is a almost everyone ethnocentric little.,1.0,0.0,4,"[1, 1, 1, 1]",test
"But the challenges ahead are equally and they, great, too, will require the support and the efforts of the Congress and the people working in cooperation with the Administration new.",2.2857,1.7995,7,"[3, 1, 1, 2, 6, 1, 2]",test
"But the challenges ahead are equally great, and they, too, will require the support and the efforts of the Congress and the people working in cooperation with the new Administration.",5.8333,1.6021,6,"[7, 7, 3, 6, 7, 5]",test
"But the challenges are ahead equally great, and they, too, will require the support and the efforts of the Congress and the people working in cooperation with the new Administration.",5.5,1.7607,6,"[6, 6, 6, 6, 2, 7]",test
"By taking this action, I hope I that will have hastened the start of that process of healing which is so desperately needed in America.",4.625,2.0659,8,"[7, 5, 6, 2, 5, 6, 1, 5]",test
"By taking this action, I hope that I will have hastened the start of that process of healing which is so desperately needed in America.",5.7143,2.2147,7,"[7, 7, 5, 6, 7, 7, 1]",test
"By taking this action, I hope that will I have hastened the start of that healing process of which is so desperately needed in America.",2.5,2.3805,4,"[6, 1, 1, 2]",test
Careful their appearance this picked specifically to were with puppets used the task for attention.,1.0,0.0,4,"[1, 1, 1, 1]",test
"Climate change affects distribution of weeds, and pests, diseases.",4.7778,2.1667,9,"[4, 1, 7, 4, 6, 2, 6, 7, 6]",test
"Climate change affects distribution of weeds, pests, and diseases.",6.75,0.5,4,"[7, 7, 6, 7]",test
"Climate change affects of distribution pests, weeds, diseases and.",1.2857,0.488,7,"[2, 1, 1, 1, 1, 1, 2]",test
Crabs you Denmark shallow in the Otters and and rare for Beach also waters Seals find Shore beaches.,1.0,0.0,6,"[1, 1, 1, 1, 1, 1]",test
"Currently, we're in talks with people.",6.75,0.4629,8,"[7, 7, 7, 7, 6, 7, 7, 6]",test
"Currently, we're people in talks with.",2.25,1.165,8,"[1, 3, 2, 3, 4, 3, 1, 1]",test
"Currently, we're talks in with people.",1.75,0.9574,4,"[2, 1, 3, 1]",test
Didn’t as well much we not Steven’s strange see interest that.,1.0,0.0,5,"[1, 1, 1, 1, 1]",test
