unit,mean,std,n,individual_ratings,item_type
Christian put his difficult math homework that was due tomorrow off.,2.5,0.8367,6,"[2, 4, 2, 3, 2, 2]",test
Christian put his homework off.,4.1667,1.3292,6,"[5, 5, 2, 5, 5, 3]",test
Christian put off his difficult math homework that was due tomorrow.,3.75,0.9574,4,"[3, 4, 3, 5]",test
Christian put off his homework.,5.0,0.0,2,"[5, 5]",test
Frank put down the book.,5.0,0.0,7,"[5, 5, 5, 5, 5, 5, 5]",test
Frank put down the new mystery book that he bought.,4.1667,1.169,6,"[5, 2, 5, 5, 4, 4]",test
Frank put the book down.,3.5,2.1213,2,"[5, 2]",test
Frank put the new mystery book that he bought down.,2.3333,0.5774,3,"[3, 2, 2]",test
Jay sent in the disobedient student that had been fighting.,3.2,0.8367,5,"[4, 3, 4, 2, 3]",test
Jay sent in the student.,4.25,0.9574,4,"[5, 4, 3, 5]",test
Jay sent the disobedient student that had been fighting in.,2.0,1.4142,4,"[2, 1, 4, 1]",test
Jay sent the student in.,4.4,1.3416,5,"[5, 5, 5, 2, 5]",test
Jerry pushed down the lever.,4.0,1.7321,5,"[5, 5, 5, 4, 1]",test
Jerry pushed down the rusty metal lever that turned off the water.,4.0,0.8165,4,"[4, 3, 4, 5]",test
Jerry pushed the lever down.,3.5,2.1213,2,"[5, 2]",test
Jerry pushed the rusty metal lever that turned off the water down.,2.4286,1.2724,7,"[2, 3, 4, 1, 1, 2, 4]",test
Joe threw out the documents.,4.5,1.2247,6,"[5, 5, 5, 5, 5, 2]",test
Joe threw out the very important documents that he brought home.,4.0,0.7071,5,"[5, 4, 4, 4, 3]",test
Joe threw the documents out.,5.0,0.0,4,"[5, 5, 5, 5]",test
Joe threw the very important documents that he brought home out.,3.0,1.0,3,"[4, 3, 2]",test
Karen broke down the box.,4.0,1.0,3,"[4, 5, 3]",test
Karen broke down the cardboard box that she had used to move.,3.3333,0.5774,3,"[4, 3, 3]",test
Karen broke the box down.,3.8571,1.069,7,"[3, 5, 4, 5, 4, 2, 4]",test
Karen broke the cardboard box that she had used to move down.,2.6,0.8944,5,"[2, 3, 2, 2, 4]",test
Patrick kicked out the audience member.,4.0,1.2649,6,"[5, 5, 3, 2, 4, 5]",test
Patrick kicked out the obnoxious audience member who was heckling.,4.0,0.8165,4,"[4, 4, 5, 3]",test
Patrick kicked the audience member out.,5.0,0.0,3,"[5, 5, 5]",test
Patrick kicked the obnoxious audience member who was heckling out.,2.4,0.5477,5,"[3, 2, 3, 2, 2]",test
The agent approached the publicists about the photo-shoot.,4.2778,0.8264,18,"[5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 2, 3]",filler
The counselor consoled the students about the competition.,4.2778,0.7519,18,"[4, 5, 3, 5, 5, 4, 4, 3, 4, 5, 5, 5, 3, 5, 4, 5, 4, 4]",filler
The florist sent the flowers that were very expensive to the boy.,2.9444,0.8024,18,"[3, 2, 3, 3, 4, 4, 4, 3, 3, 2, 3, 4, 4, 3, 2, 2, 2, 2]",filler
The host complimented the author who was being interviewed on all the talk shows.,3.2778,0.9583,18,"[4, 3, 4, 4, 4, 4, 3, 2, 2, 3, 2, 4, 3, 4, 5, 2, 4, 2]",filler
The principal criticized the instructors for the program.,4.1111,0.9634,18,"[5, 5, 5, 3, 5, 4, 5, 2, 3, 4, 4, 5, 4, 3, 5, 3, 5, 4]",filler
The publisher complimented the editors on the magazine.,4.1111,1.2783,18,"[5, 5, 4, 4, 5, 3, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 1, 1]",filler
The reporter interviewed the actors about the movie.,4.6111,0.7775,18,"[5, 5, 5, 5, 5, 2, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5]",filler
The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.,3.2222,1.2628,18,"[1, 2, 2, 3, 4, 4, 4, 2, 3, 4, 2, 4, 5, 4, 5, 2, 5, 2]",filler
The student petitioned the professors regarding the course.,3.6111,1.195,18,"[5, 4, 4, 3, 5, 4, 3, 2, 4, 2, 5, 2, 2, 5, 4, 2, 4, 5]",filler
The trainer left alone the angry-looking dog who was growling.,2.0,1.2247,5,"[1, 2, 1, 4, 2]",test
The trainer left alone the dog.,2.0,0.0,3,"[2, 2, 2]",test
The trainer left the angry-looking dog who was growling alone.,3.6667,1.1547,3,"[3, 5, 3]",test
The trainer left the dog alone.,4.8571,0.378,7,"[4, 5, 5, 5, 5, 5, 5]",test
"This morning, a manager stayed who is rarely in the office so the employees were very well behaved.",1.5556,0.7048,18,"[3, 1, 1, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1]",filler
"When it storms, the grass gets wet, so the landscaper can't cut the grass.",3.8333,1.2485,18,"[5, 5, 2, 4, 5, 4, 5, 3, 2, 2, 3, 5, 5, 5, 5, 3, 4, 2]",filler
"Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.",1.7222,0.8264,18,"[2, 2, 1, 3, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 4, 1, 2, 1]",filler
