word,mean,std,n
a,1.46,1.14,28
aardvark,4.68,0.86,28
aback,1.65,1.07,23
abacus,4.52,1.12,27
abandon,2.54,1.45,26
abandoned,2.52,1.27,29
abandonee,2.92,1.28,24
abandoner,2.5,1.5,28
abandonment,2.54,1.29,28
abasement,1.67,1.01,24
abatement,1.92,1.29,26
abbreviate,2.59,1.53,27
abbreviated,3.1,1.54,30
abbreviation,3.07,1.51,29
abdicate,2.08,1.29,26
abdomen,4.7,0.67,27
abdominal,4.28,1.16,29
abdominally,3.15,1.46,27
abduct,2.88,1.51,26
abductee,3.27,1.44,30
abduction,3.07,1.47,27
abductor,3.89,1.37,28
abhor,1.81,1.17,26
abhorrence,2.15,1.26,27
abhorrently,2.04,1.32,27
abhorring,1.68,0.8,25
abide,1.68,0.86,28
abiding,2.07,1.13,29
abidingly,1.82,0.94,28
ability,1.81,0.88,27
abject,1.67,0.96,24
ablaze,3.82,1.16,28
able,2.38,1.42,26
ably,1.78,1.19,27
abnormal,2.14,1.38,29
abnormality,2.48,1.33,25
abnormally,1.75,0.84,28
aboard,3.97,1.3,30
abode,3.92,1.38,24
abolish,2.19,1.17,26
abolishable,1.96,1.16,24
abolisher,2.29,1.15,28
abolishment,2.31,1.42,29
abolition,2.43,1.5,28
abolitionism,1.86,0.93,28
abolitionist,3.28,1.51,25
abominable,1.89,0.99,28
abominableness,1.58,0.83,24
abominably,2.14,1.13,29
abominate,1.68,0.99,25
abomination,2.23,1.24,26
aboriginal,3.12,1.34,26
abort,2.83,1.23,30
aborted,2.83,1.36,29
abortion,3.41,1.39,27
abortionist,3.19,1.47,26
abortive,1.88,0.99,26
abortively,1.95,1.05,22
abound,2.27,1.19,26
abounding,2.04,1.19,27
about,1.77,0.95,26
above,3.33,1.34,24
aboveboard,2.8,1.47,25
aboveground,4.03,1.24,29
abovementioned,2.96,1.57,28
abracadabra,2.04,1.43,26
abrasion,4.57,0.88,28
abrasive,3.03,1.35,30
abrasively,2.07,1.07,29
abrasiveness,2.72,1.31,29
abreast,2.23,1.31,26
abridge,2.77,1.53,26
abridged,1.77,1.03,26
abridgment,2.67,1.58,24
abroad,2.72,1.43,25
abrupt,2.27,1.11,30
abruptly,2.36,1.28,28
abruptness,2.04,1.02,27
abscess,4.48,0.8,27
abscessed,2.69,1.29,26
absence,2.31,1.35,26
absent,2.7,1.44,30
absentee,3.29,1.38,28
absenteeism,2.35,1.47,23
absently,1.71,1.12,28
absentminded,2.0,0.96,29
absentmindedly,1.76,1.09,29
absentmindedness,1.75,1.11,28
absentness,1.88,1.07,26
absinthe,4.3,1.22,23
absolute,1.81,1.24,27
absolutely,1.97,1.19,30
absoluteness,1.5,1.04,30
absolution,1.78,1.05,27
absolutism,1.46,1.03,26
absolutist,2.7,1.4,23
absolvable,1.8,1.08,25
absolve,1.85,1.01,26
absorb,3.11,1.26,28
absorbability,2.38,1.06,24
absorbable,2.47,1.36,30
absorbed,2.44,1.26,25
absorbency,2.97,1.4,31
absorbent,3.1,1.45,29
